Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Adjective_freq
carsick,31,29,29,28,0.61,1.5051,0.35,1.4771,adjective,30.0,1.0,adjective,30,30
sorrier,25,23,25,23,0.49,1.415,0.27,1.3802,adjective,25.0,1.0,adjective,25,25
blanky,28,10,12,8,0.55,1.4624,0.12,1.0414,adjective,24.0,0.86,adjective.name,24.4,24
swellest,23,19,23,19,0.45,1.3802,0.23,1.301,adjective,23.0,1.0,adjective,23,23
unhand,43,33,8,7,0.84,1.6435,0.39,1.5315,adjective,23.0,0.53,adjective.adverb.name,23.16.4,23
rustical,22,2,0,0,0.43,1.3617,0.02,0.4771,adjective,22.0,1.0,adjective,22,22
sorriest,19,19,19,19,0.37,1.301,0.23,1.301,adjective,19.0,1.0,adjective,19,19
airsick,16,15,15,14,0.31,1.2304,0.18,1.2041,adjective,16.0,1.0,adjective,16,16
darnedest,16,16,12,12,0.31,1.2304,0.19,1.2304,adjective,16.0,1.0,adjective,16,16
pigheaded,34,33,34,33,0.67,1.5441,0.39,1.5315,verb,18.0,0.53,verb.adjective,18.16,16
grandpappy,17,15,13,13,0.33,1.2553,0.18,1.2041,adjective,13.0,0.81,adjective.name,13.3,13
negatory,14,13,5,4,0.27,1.1761,0.15,1.1461,adjective,13.0,0.93,adjective.name,13.1,13
filthier,12,5,12,5,0.24,1.1139,0.06,0.7782,adjective,12.0,1.0,adjective,12,12
thready,34,29,33,29,0.67,1.5441,0.35,1.4771,noun,21.0,0.64,noun.adjective,21.12,12
alky,21,8,8,7,0.41,1.3424,0.1,0.9542,adjective,11.0,0.52,adjective.name,11.10,11
guiltier,11,11,11,11,0.22,1.0792,0.13,1.0792,adjective,11.0,1.0,adjective,11,11
rottenest,11,10,11,10,0.22,1.0792,0.12,1.0414,adjective,11.0,1.0,adjective,11,11
lousiest,10,10,10,10,0.2,1.0414,0.12,1.0414,adjective,10.0,1.0,adjective,10,10
overanxious,10,10,10,10,0.2,1.0414,0.12,1.0414,adjective,10.0,1.0,adjective,10,10
teeniest,10,10,9,9,0.2,1.0414,0.12,1.0414,adjective,10.0,1.0,adjective,10,10
ectoplasmic,9,8,8,7,0.18,1.0,0.1,0.9542,adjective,9.0,1.0,adjective,9,9
splendiferous,9,7,8,6,0.18,1.0,0.08,0.9031,adjective,9.0,1.0,adjective,9,9
swimmy,12,2,11,2,0.24,1.1139,0.02,0.4771,adjective,9.0,0.75,adjective.noun,9.3,9
wronger,9,8,9,8,0.18,1.0,0.1,0.9542,adjective,9.0,1.0,adjective,9,9
counteractive,8,1,8,1,0.16,0.9542,0.01,0.301,adjective,8.0,1.0,adjective,8,8
deadest,8,8,8,8,0.16,0.9542,0.1,0.9542,adjective,8.0,1.0,adjective,8,8
gammy,16,7,4,3,0.31,1.2304,0.08,0.9031,adjective,8.0,0.5,adjective.name.noun,8.6.2,8
hamate,10,3,8,2,0.2,1.0414,0.04,0.6021,adjective,8.0,0.8,adjective.verb,8.2,8
scrunchy,8,3,6,3,0.16,0.9542,0.04,0.6021,adjective,8.0,1.0,adjective,8,8
shakiest,8,1,8,1,0.16,0.9542,0.01,0.301,adjective,8.0,1.0,adjective,8,8
unladylike,8,8,8,8,0.16,0.9542,0.1,0.9542,adjective,8.0,1.0,adjective,8,8
agrestic,21,10,0,0,0.41,1.3424,0.12,1.0414,noun,14.0,0.67,noun.adjective,14.7,7
barrelful,7,7,7,7,0.14,0.9031,0.08,0.9031,adjective,7.0,1.0,adjective,7,7
bowlegged,12,10,12,10,0.24,1.1139,0.12,1.0414,adjective,7.0,0.58,adjective.verb,7.5,7
