Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adjective_freq
good,133117,8316,90673,8267,2610.14,5.1242,99.14,3.92,Adjective,131274.0,0.99,Adjective.Adverb.Name.Noun,131274.1424.147.61,131274
sorry,59566,7923,43411,7595,1167.96,4.775,94.46,3.8989,Adjective,59455.0,1.0,Adjective.Noun,59455.2,59455
little,73766,8072,69783,8051,1446.39,4.8679,96.23,3.907,Adjective,46077.0,0.63,Adjective.Adverb.Determiner.Name.Noun,46077.23682.3524.394.1,46077
right,204428,8320,181467,8310,4008.39,5.3105,99.19,3.9202,Adverb,148137.0,0.73,Adverb.Adjective.Noun.Verb.Name,148137.41292.14475.200.76,41292
great,41864,7462,32689,7094,820.86,4.6219,88.96,3.8729,Adjective,41101.0,0.98,Adjective.Adverb.Name.Noun,41101.645.65.2,41101
sure,56091,8007,40398,7768,1099.82,4.7489,95.46,3.9035,Adjective,38705.0,0.69,Adjective.Adverb,38705.17330,38705
big,34824,7234,29451,7076,682.82,4.5419,86.24,3.8594,Adjective,34684.0,1.0,Adjective.Adverb.Noun,34684.121.3,34684
nice,33125,7094,24414,6565,649.51,4.5202,84.57,3.851,Adjective,31709.0,0.96,Adjective.Adverb.Name.Noun,31709.1306.73.1,31709
old,31056,6909,29004,6804,608.94,4.4922,82.37,3.8395,Adjective,30968.0,1.0,Adjective.Name,30968.36,30968
fine,30502,7135,22797,6582,598.08,4.4843,85.06,3.8535,Adjective,30273.0,0.99,Adjective.Adverb.Verb.Noun.Name,30273.120.64.2.2,30273
new,36913,7238,25522,6911,723.78,4.5672,86.29,3.8597,Adjective,28327.0,0.77,Adjective.Name.Adverb.Noun,28327.8527.5.3,28327
other,37505,7738,36688,7709,735.39,4.5741,92.25,3.8887,Adjective,27916.0,0.75,Adjective.Pronoun.Preposition.Noun.Name,27916.8231.840.473.1,27916
bad,27804,7214,26037,7122,545.18,4.4441,86.0,3.8582,Adjective,27563.0,0.99,Adjective.Adverb.Noun,27563.201.4,27563
wrong,26678,7245,25814,7184,523.1,4.4262,86.37,3.8601,Adjective,24452.0,0.92,Adjective.Adverb.Verb.Noun.Name,24452.1926.152.111.3,24452
real,22583,6453,21376,6375,442.8,4.3538,76.93,3.8098,Adjective,22283.0,0.99,Adjective.Adverb.Noun,22283.292.13,22283
only,55269,8118,48650,8048,1083.71,4.7425,96.78,3.9095,Adverb,33314.0,0.6,Adverb.Adjective.Noun.Conjunction,33314.21882.1.1,21882
dead,22898,5926,21564,5824,448.98,4.3598,70.65,3.7728,Adjective,21730.0,0.95,Adjective.Adverb.Name.Noun,21730.1111.31.1,21730
okay,102320,6322,40017,5711,2006.27,5.01,75.37,3.8009,Adverb,82686.0,0.81,Adverb.Adjective.Name.Verb,82686.19363.22.19,19363
whole,19660,6432,19465,6418,385.49,4.2936,76.68,3.8084,Adjective,18595.0,0.95,Adjective.Noun,18595.1057,18595
ready,19778,6398,16707,6105,387.8,4.2962,76.28,3.8061,Adjective,17250.0,0.87,Adjective.Verb.Adverb,17250.2056.453,17250
best,20623,6673,19659,6598,404.37,4.3144,79.55,3.8244,Adjective,17069.0,0.83,Adjective.Adverb.Verb.Name,17069.3327.212.1,17069
happy,16993,5531,13664,5202,333.2,4.2303,65.94,3.7429,Adjective,16959.0,1.0,Adjective.Noun,16959.1,16959
beautiful,14266,4973,12867,4784,279.73,4.1543,59.29,3.6967,Adjective,14225.0,1.0,Adjective.Noun,14225.2,14225
long,34433,7581,32497,7519,675.16,4.537,90.38,3.8798,Adverb,16433.0,0.48,Adverb.Adjective.Conjunction.Verb.Noun,16433.13891.3786.305.2,13891
crazy,13886,5039,13059,4950,272.27,4.1426,60.07,3.7024,Adjective,13856.0,1.0,Adjective.Noun,13856.2,13856
better,40494,7814,37426,7756,794.0,4.6074,93.16,3.8929,Adverb,26185.0,0.65,Adverb.Adjective.Verb.Noun,26185.13583.500.151,13583
true,12921,5312,12086,5159,253.35,4.1113,63.33,3.7253,Adjective,12772.0,0.99,Adjective.Adverb.Verb.Noun,12772.100.40.3,12772
supposed,12865,5464,12755,5444,252.25,4.1094,65.14,3.7376,Adjective,12736.0,0.99,Adjective.Verb.Noun,12736.121.4,12736
afraid,12631,4944,12167,4875,247.67,4.1015,58.94,3.6942,Adjective,12617.0,1.0,Adjective.Noun,12617.1,12617
young,12402,4685,11057,4483,243.18,4.0935,55.85,3.6708,Adjective,11888.0,0.96,Adjective.Name.Noun,11888.454.3,11888
easy,13551,5385,10851,5022,265.71,4.132,64.2,3.7313,Adjective,11440.0,0.85,Adjective.Adverb,11440.2090,11440
funny,11127,4659,10115,4421,218.18,4.0464,55.54,3.6684,Adjective,11107.0,1.0,Adjective,11107,11107
fucking,16603,1556,15314,1523,325.55,4.2202,18.55,3.1923,Adjective,10918.0,0.66,Adjective.Adverb.Verb.Noun.Name,10918.5404.266.14.2,10918
different,10686,4860,10327,4819,209.53,4.0289,57.94,3.6867,Adjective,10673.0,1.0,Adjective.Noun,10673.2,10673
important,10587,4878,10506,4865,207.59,4.0248,58.15,3.6883,Adjective,10586.0,1.0,Adjective,10586,10586
late,13756,5576,13446,5531,269.73,4.1385,66.48,3.7464,Adjective,9967.0,0.73,Adjective.Adverb,9967.3778,9967
hot,9682,4209,8497,3982,189.84,3.986,50.18,3.6243,Adjective,9598.0,0.99,Adjective.Adverb.Noun,9598.70.1,9598
alone,15735,5920,15212,5872,308.53,4.1969,70.58,3.7724,Adjective,9585.0,0.61,Adjective.Adverb.Preposition,9585.5945.179,9585
stupid,9405,4276,8456,4059,184.41,3.9734,50.98,3.6311,Adjective,9395.0,1.0,Adjective.Noun.Name,9395.1.1,9395
high,9945,4450,8393,4173,195.0,3.9976,53.05,3.6485,Adjective,9277.0,0.93,Adjective.Adverb.Noun.Name,9277.643.7.5,9277
hard,15700,6095,14960,5996,307.84,4.1959,72.66,3.785,Adjective,9243.0,0.59,Adjective.Adverb,9243.6441,9243
just,242206,8338,193792,8309,4749.14,5.3842,99.4,3.9211,Adverb,232666.0,0.96,Adverb.Adjective.Noun.Name,232666.9038.14.2,9038
glad,8740,4312,7601,3977,171.37,3.9416,51.41,3.6348,Adjective,8735.0,1.0,Adjective,8735,8735
cool,9990,3670,7778,3271,195.88,3.9996,43.75,3.5648,Adjective,8355.0,0.84,Adjective.Verb.Adverb.Noun.Name,8355.1159.347.92.26,8355
wonderful,8364,3362,7260,3088,164.0,3.9225,40.08,3.5267,Adjective,8330.0,1.0,Adjective,8330,8330
full,8512,4326,7840,4186,166.9,3.9301,51.57,3.6362,Adjective,8271.0,0.97,Adjective.Adverb,8271.237,8271
sick,8437,3867,8126,3798,165.43,3.9262,46.1,3.5875,Adjective,8225.0,0.97,Adjective.Noun,8225.213,8225
able,8155,4285,8048,4258,159.9,3.9115,51.08,3.6321,Adjective,8148.0,1.0,Adjective,8148,8148
free,9054,4278,8183,4144,177.53,3.9569,51.0,3.6313,Adjective,8013.0,0.89,Adjective.Verb.Noun,8013.1007.1,8013
black,8565,3190,6530,2787,167.94,3.9328,38.03,3.5039,Adjective,8010.0,0.94,Adjective.Name.Noun.Verb,8010.259.228.57,8010
alive,7878,3735,7714,3704,154.47,3.8965,44.53,3.5724,Adjective,7874.0,1.0,Adjective.Noun,7874.2,7874
perfect,8091,3915,6687,3502,158.65,3.9081,46.67,3.5928,Adjective,7858.0,0.97,Adjective.Verb,7858.222,7858
special,7577,3885,6616,3629,148.57,3.8796,46.32,3.5895,Adjective,7558.0,1.0,Adjective.Noun,7558.8,7558
serious,7566,4006,7398,3965,148.35,3.8789,47.76,3.6028,Adjective,7552.0,1.0,Adjective.Noun,7552.1,7552
lucky,7316,3874,6089,3550,143.45,3.8643,46.19,3.5883,Adjective,7281.0,1.0,Adjective.Noun,7281.1,7281
white,8744,3355,6335,2804,171.45,3.9418,40.0,3.5258,Adjective,7185.0,0.82,Adjective.Name.Noun,7185.1404.128,7185
sweet,7405,3578,6006,3208,145.2,3.8696,42.66,3.5538,Adjective,7151.0,0.97,Adjective.Name.Noun,7151.129.105,7151
safe,7303,3522,6950,3433,143.2,3.8636,41.99,3.5469,Adjective,6953.0,0.95,Adjective.Noun.Adverb.Name,6953.282.58.1,6953
married,12163,3952,11776,3890,238.49,4.0851,47.11,3.5969,Adjective,6583.0,0.54,Adjective.Verb,6583.5562,6583
poor,6583,3224,4713,2608,129.08,3.8185,38.44,3.5085,Adjective,6569.0,1.0,Adjective.Noun,6569.1,6569
small,6373,3533,5893,3393,124.96,3.8044,42.12,3.5483,Adjective,6199.0,0.97,Adjective.Name.Adverb.Noun,6199.152.8.3,6199
red,7551,3042,4353,2450,148.06,3.8781,36.27,3.4833,Adjective,5969.0,0.79,Adjective.Noun.Name,5969.1413.136,5969
pretty,20003,6344,17430,6076,392.22,4.3011,75.63,3.8024,Adverb,14061.0,0.7,Adverb.Adjective.Noun,14061.5919.1,5919
possible,5816,3373,5634,3317,114.04,3.7647,40.21,3.5281,Adjective,5820.0,1.0,Adjective.Noun,5820.4,5820
