Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adverb_freq
just,242206,8338,193792,8309,4749.14,5.3842,99.4,3.9211,Adverb,232666.0,0.96,Adverb.Adjective.Noun.Name,232666.9038.14.2,232666
here,230788,8352,201195,8343,4525.25,5.3632,99.57,3.9218,Adverb,230319.0,1.0,Adverb.Noun,230319.16,230319
so,216452,8350,128430,8325,4244.16,5.3354,99.55,3.9217,Adverb,192197.0,0.89,Adverb.Conjunction.Adjective.Noun,192197.23905.23.9,192197
up,187170,8345,184579,8342,3670.0,5.2722,99.49,3.9215,Adverb,172938.0,0.93,Adverb.Preposition.Verb.Adjective.Noun,172938.12815.641.531.12,172938
now,163333,8350,103585,8303,3202.61,5.2131,99.55,3.9217,Adverb,159745.0,0.98,Adverb.Conjunction.Noun,159745.3231.14,159745
how,155867,8341,67228,8223,3056.22,5.1928,99.44,3.9213,Adverb,155277.0,1.0,Adverb.Noun,155277.2,155277
well,152523,8146,31974,7283,2990.65,5.1833,97.11,3.911,Adverb,149100.0,0.98,Adverb.Adjective.Noun.Preposition.Name.Verb,149100.1674.1004.689.21.4,149100
right,204428,8320,181467,8310,4008.39,5.3105,99.19,3.9202,Adverb,148137.0,0.73,Adverb.Adjective.Noun.Verb.Name,148137.41292.14475.200.76,148137
out,197131,8343,193517,8339,3865.31,5.2948,99.46,3.9214,Adverb,141761.0,0.72,Adverb.Preposition.Adjective.Noun,141761.55045.82.2,141761
on,354742,8372,345091,8371,6955.73,5.5499,99.81,3.9229,Preposition,225639.0,0.64,Preposition.Adverb.Noun.Adjective,225639.129167.22.13,129167
why,114687,8299,42108,7905,2248.76,5.0595,98.94,3.9191,Adverb,114406.0,1.0,Adverb,114406,114406
there,221754,8355,154266,8333,4348.12,5.3459,99.61,3.922,Ex,111258.0,0.51,Ex.Adverb.Noun.Name,111258.108952.9.1,108952
all,263255,8279,193220,8261,5161.86,5.4204,98.7,3.918,Determiner,162254.0,0.62,Determiner.Adverb.Adjective.Noun,162254.97871.44.1,97871
okay,102320,6322,40017,5711,2006.27,5.01,75.37,3.8009,Adverb,82686.0,0.81,Adverb.Adjective.Name.Verb,82686.19363.22.19,82686
back,102467,8273,98533,8267,2009.16,5.0106,98.63,3.9177,Adverb,77642.0,0.76,Adverb.Noun.Verb.Adjective.Preposition.Name,77642.21861.2424.354.72.2,77642
really,76508,7956,63382,7861,1500.16,4.8837,94.85,3.9007,Adverb,76476.0,1.0,Adverb.Noun,76476.1,76476
then,75966,8255,48171,8008,1489.53,4.8806,98.41,3.9168,Adverb,75737.0,1.0,Adverb.Adjective.Noun,75737.73.9,75737
where,93341,8260,45811,7925,1830.22,4.9701,98.47,3.917,Adverb,74019.0,0.8,Adverb.Conjunction.Noun,74019.18859.2,74019
down,76004,8161,73713,8147,1490.27,4.8808,97.29,3.9118,Adverb,70578.0,0.93,Adverb.Preposition.Noun.Adjective.Verb.Name,70578.4311.441.261.167.130,70578
too,69950,8200,65983,8169,1371.57,4.8448,97.76,3.9139,Adverb,69878.0,1.0,Adverb.Noun,69878.2,69878
never,69490,8158,61882,8103,1362.55,4.8419,97.26,3.9116,Adverb,69386.0,1.0,Adverb,69386,69386
very,63304,7863,54294,7709,1241.25,4.8014,93.74,3.8956,Adverb,60616.0,0.96,Adverb.Adjective.Noun,60616.2616.2,60616
please,56149,7837,31482,7140,1100.96,4.7493,93.43,3.8942,Adverb,54802.0,0.98,Adverb.Verb,54802.1179,54802
in,498444,8372,473880,8369,9773.41,5.6976,99.81,3.9229,Preposition,443510.0,0.89,Preposition.Adverb.Conjunction.Noun.Verb.Adjective,443510.50997.3154.67.49.39,50997
maybe,47249,7737,18779,6368,926.45,4.6744,92.24,3.8886,Adverb,47143.0,1.0,Adverb.Noun,47143.2,47143
over,67488,8171,63199,8142,1323.29,4.8292,97.41,3.9123,Adverb,46641.0,0.69,Adverb.Preposition.Noun.Adjective.Name,46641.20492.249.39.1,46641
off,60155,8058,59292,8047,1179.51,4.7793,96.07,3.9063,Adverb,42420.0,0.71,Adverb.Preposition.Adjective.Noun,42420.17363.332.1,42420
again,40428,7852,39144,7815,792.71,4.6067,93.61,3.895,Adverb,40358.0,1.0,Adverb,40358,40358
even,44672,7931,38346,7775,875.92,4.65,94.55,3.8994,Adverb,38837.0,0.87,Adverb.Conjunction.Verb.Adjective.Noun,38837.5601.121.67.5,38837
still,40225,7811,36992,7748,788.73,4.6045,93.12,3.8928,Adverb,38402.0,0.96,Adverb.Adjective.Noun,38402.1777.21,38402
ever,36170,7513,34138,7436,709.22,4.5584,89.57,3.8759,Adverb,36123.0,1.0,Adverb.Noun,36123.9,36123
of,590439,8375,573021,8372,11577.24,5.7712,99.85,3.923,Preposition,553506.0,0.94,Preposition.Adverb.Adjective.Conjunction.Noun.Name,553506.34686.1413.156.19.15,34686
always,33418,7495,31224,7415,655.25,4.524,89.35,3.8748,Adverb,33384.0,1.0,Adverb.Noun.Name,33384.1.1,33384
only,55269,8118,48650,8048,1083.71,4.7425,96.78,3.9095,Adverb,33314.0,0.6,Adverb.Adjective.Noun.Conjunction,33314.21882.1.1,33314
a,1041179,8382,976941,8380,20415.27,6.0175,99.93,3.9234,Article,993445.0,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,33186
when,103739,8312,72500,8232,2034.1,5.0159,99.09,3.9198,Conjunction,70435.0,0.68,Conjunction.Adverb.Noun,70435.33048.28,33048
more,66228,8177,62546,8158,1298.59,4.821,97.48,3.9126,Determiner,36781.0,0.56,Determiner.Adverb.Noun,36781.29364.1,29364
away,37276,7580,36915,7567,730.9,4.5714,90.37,3.8797,Adverb,29181.0,0.78,Adverb.Preposition.Adjective,29181.7848.163,29181
home,39491,7452,38202,7405,774.33,4.5965,88.84,3.8723,Adverb,28280.0,0.72,Adverb.Noun.Verb.Name,28280.11099.31.2,28280
around,37573,7563,37074,7548,736.73,4.5749,90.16,3.8788,Adverb,27586.0,0.74,Adverb.Preposition.Noun,27586.9933.2,27586
better,40494,7814,37426,7756,794.0,4.6074,93.16,3.8929,Adverb,26185.0,0.65,Adverb.Adjective.Verb.Noun,26185.13583.500.151,26185
little,73766,8072,69783,8051,1446.39,4.8679,96.23,3.907,Adjective,46077.0,0.63,Adjective.Adverb.Determiner.Name.Noun,46077.23682.3524.394.1,23682
else,22907,7025,22872,7021,449.16,4.36,83.75,3.8467,Adverb,22868.0,1.0,Adverb,22868,22868
today,22124,6570,19725,6367,433.8,4.3449,78.33,3.8176,Adverb,22095.0,1.0,Adverb,22095,22095
course,24848,6666,24319,6604,487.22,4.3953,79.47,3.8239,Adverb,21987.0,0.89,Adverb.Noun.Verb,21987.2809.48,21987
at,164072,8346,153482,8335,3217.1,5.215,99.5,3.9215,Preposition,142253.0,0.87,Preposition.Adverb.Noun,142253.21653.14,21653
as,113068,8239,99083,8201,2217.02,5.0533,98.22,3.9159,Conjunction,69103.0,0.61,Conjunction.Preposition.Adverb.Noun,69103.22703.21130.17,21130
tonight,21047,5748,18906,5569,412.69,4.3232,68.53,3.7596,Adverb,21031.0,1.0,Adverb,21031,21031
about,185206,8321,179962,8313,3631.49,5.2677,99.2,3.9202,Preposition,164260.0,0.89,Preposition.Adverb.Noun,164260.20769.13,20769
ok,25928,1771,1617,344,508.39,4.4138,21.11,3.2485,Adverb,20270.0,0.79,Adverb.Adjective.Verb,20270.5456.4,20270
together,19553,6450,19079,6401,383.39,4.2912,76.9,3.8096,Adverb,19520.0,1.0,Adverb.Noun,19520.1,19520
enough,25568,7159,23968,7057,501.33,4.4077,85.35,3.8549,Adverb,19233.0,0.75,Adverb.Determiner.Noun,19233.6302.1,19233
yet,17428,6403,16504,6302,341.73,4.2413,76.34,3.8065,Adverb,17419.0,1.0,Adverb,17419,17419
sure,56091,8007,40398,7768,1099.82,4.7489,95.46,3.9035,Adjective,38705.0,0.69,Adjective.Adverb,38705.17330,17330
tomorrow,17134,5661,14712,5403,335.96,4.2339,67.49,3.753,Adverb,17114.0,1.0,Adverb,17114,17114
long,34433,7581,32497,7519,675.16,4.537,90.38,3.8798,Adverb,16433.0,0.48,Adverb.Adjective.Conjunction.Verb.Noun,16433.13891.3786.305.2,16433
actually,16439,5486,11254,4572,322.33,4.2159,65.4,3.7393,Adverb,16406.0,1.0,Adverb.Noun,16406.1,16406
already,16246,6350,15769,6297,318.55,4.2108,75.7,3.8028,Adverb,16234.0,1.0,Adverb,16234,16234
ago,14592,5851,14580,5847,286.12,4.1641,69.75,3.7673,Adverb,14578.0,1.0,Adverb,14578,14578
once,17589,6405,14200,5921,344.88,4.2453,76.36,3.8066,Adverb,14337.0,0.82,Adverb.Conjunction.Noun,14337.3213.20,14337
probably,14323,5753,11791,5279,280.84,4.1561,68.59,3.76,Adverb,14303.0,1.0,Adverb,14303,14303
pretty,20003,6344,17430,6076,392.22,4.3011,75.63,3.8024,Adverb,14061.0,0.7,Adverb.Adjective.Noun,14061.5919.1,14061
later,14889,5951,13588,5738,291.94,4.1729,70.95,3.7747,Adverb,13048.0,0.88,Adverb.Adjective.Noun,13048.1824.2,13048
much,49636,8027,48812,8012,973.25,4.6958,95.7,3.9046,Determiner,36658.0,0.74,Determiner.Adverb.Conjunction,36658.12904.15,12904
exactly,12607,5481,9921,4914,247.2,4.1006,65.34,3.7389,Adverb,12590.0,1.0,Adverb,12590,12590
anyway,12164,5348,8066,4344,238.51,4.0851,63.76,3.7283,Adverb,12133.0,1.0,Adverb,12133,12133
most,17889,6134,15492,5771,350.76,4.2526,73.13,3.7878,Adverb,11668.0,0.65,Adverb.Determiner,11668.6193,11668
before,40501,7914,37297,7815,794.14,4.6075,94.35,3.8985,Conjunction,18729.0,0.46,Conjunction.Adverb.Preposition,18729.11619.10124,11619
also,10528,4765,9336,4461,206.43,4.0224,56.81,3.6782,Adverb,10523.0,1.0,Adverb,10523,10523
quite,10332,4287,9119,4044,202.59,4.0142,51.11,3.6323,Adverb,10344.0,1.0,Adverb,10344,10344
least,10596,5406,10515,5380,207.76,4.0252,64.45,3.733,Adverb,10225.0,0.97,Adverb.Determiner,10225.362,10225
almost,9857,4950,8491,4568,193.27,3.9938,59.01,3.6947,Adverb,9845.0,1.0,Adverb.Noun,9845.1,9845
soon,13140,5603,11958,5411,257.65,4.1186,66.8,3.7485,Adverb,9689.0,0.74,Adverb.Conjunction,9689.3441,9689
anymore,9597,4514,9558,4506,188.18,3.9822,53.81,3.6547,Adverb,9580.0,1.0,Adverb,9580,9580
sometimes,9129,4393,4952,3087,179.0,3.9605,52.37,3.6429,Adverb,9110.0,1.0,Adverb.Noun,9110.1,9110
ahead,10115,4726,10049,4716,198.33,4.005,56.34,3.6746,Adverb,9061.0,0.9,Adverb.Preposition,9061.1041,9061
far,11259,5187,10762,5099,220.76,4.0515,61.84,3.715,Adverb,8826.0,0.78,Adverb.Conjunction.Adjective,8826.1731.694,8826
that,719677,8368,552121,8364,14111.31,5.8571,99.76,3.9227,Determiner,504680.0,0.71,Determiner.Conjunction.Adverb.Noun,504680.202232.8459.37,8459
kind,30125,7317,28973,7259,590.69,4.4789,87.23,3.8644,Noun,21140.0,0.7,Noun.Adverb.Adjective,21140.7926.1040,7926
either,9308,4986,8023,4590,182.51,3.9689,59.44,3.6978,Adverb,7813.0,0.84,Adverb.Determiner,7813.1491,7813
through,28026,7204,27209,7159,549.53,4.4476,85.88,3.8576,Preposition,20394.0,0.73,Preposition.Adverb.Adjective.Noun,20394.7467.124.4,7467
lot,29066,7185,28738,7165,569.92,4.4634,85.66,3.8565,Noun,21770.0,0.75,Noun.Adverb.Name,21770.7277.9,7277
perhaps,6939,2926,2963,1778,136.06,3.8414,34.88,3.4664,Adverb,6944.0,1.0,Adverb.Noun,6944.1,6944
along,9330,4314,9089,4242,182.94,3.9699,51.43,3.635,Adverb,6659.0,0.71,Adverb.Preposition,6659.2672,6659
hard,15700,6095,14960,5996,307.84,4.1959,72.66,3.785,Adjective,9243.0,0.59,Adjective.Adverb,9243.6441,6441
by,68364,8203,61693,8153,1340.47,4.8348,97.79,3.914,Preposition,61855.0,0.91,Preposition.Adverb.Noun,61855.6408.8,6408
inside,10775,4811,10252,4715,211.27,4.0325,57.36,3.6823,Adverb,6196.0,0.58,Adverb.Preposition.Noun.Adjective.Name,6196.3145.1088.329.2,6196
certainly,6067,3021,4411,2566,118.96,3.783,36.02,3.4803,Adverb,6066.0,1.0,Adverb,6066,6066
like,203947,8341,190081,8340,3998.96,5.3095,99.44,3.9213,Preposition,111581.0,0.55,Preposition.Verb.Conjunction.Adverb.Adjective.Noun.Name,111581.69662.11417.6065.4991.67.7,6065
finally,5989,3591,4935,3157,117.43,3.7774,42.81,3.5553,Adverb,5983.0,1.0,Adverb,5983,5983
alone,15735,5920,15212,5872,308.53,4.1969,70.58,3.7724,Adjective,9585.0,0.61,Adjective.Adverb.Preposition,9585.5945.179,5945
absolutely,5769,3291,3032,2053,113.12,3.7612,39.23,3.5175,Adverb,5756.0,1.0,Adverb.Noun,5756.1,5756
somewhere,5688,3528,5142,3331,111.53,3.755,42.06,3.5477,Adverb,5678.0,1.0,Adverb,5678,5678
no,304549,8359,119570,8310,5971.55,5.4837,99.65,3.9222,Interjection,193371.0,0.64,Interjection.Article.Pronoun.Adverb.Determiner.Noun.Verb.Name,193371.92742.9035.5467.1521.420.204.6,5467
fast,7010,3808,6744,3747,137.45,3.8458,45.4,3.5808,Adverb,5461.0,0.78,Adverb.Adjective.Noun,5461.1533.5,5461
both,15062,6112,13225,5809,295.33,4.1779,72.87,3.7863,Determiner,9639.0,0.64,Determiner.Adverb,9639.5408,5408
fucking,16603,1556,15314,1523,325.55,4.2202,18.55,3.1923,Adjective,10918.0,0.66,Adjective.Adverb.Verb.Noun.Name,10918.5404.266.14.2,5404
rather,5825,3305,5546,3236,114.22,3.7654,39.4,3.5193,Adverb,5379.0,0.92,Adverb.Conjunction.Preposition,5379.239.207,5379
