Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
of,590439,8375,573021,8372,11577.24,5.7712,99.85,3.923,Preposition,553506.0,0.94,Preposition.Adverb.Adjective.Conjunction.Noun.Name,553506.34686.1413.156.19.15,553506
in,498444,8372,473880,8369,9773.41,5.6976,99.81,3.9229,Preposition,443510.0,0.89,Preposition.Adverb.Conjunction.Noun.Verb.Adjective,443510.50997.3154.67.49.39,443510
to,1156570,8383,1138435,8380,22677.84,6.0632,99.94,3.9235,To,787798.0,0.68,To.Preposition.Adverb.Noun.Adjective,787798.366834.931.79.68,366834
for,351650,8374,332686,8370,6895.1,5.5461,99.83,3.923,Preposition,344212.0,0.98,Preposition.Adverb.Conjunction.Noun,344212.5287.1830.50,344212
with,257465,8351,247160,8349,5048.33,5.4107,99.56,3.9218,Preposition,257287.0,1.0,Preposition.Noun,257287.17,257287
on,354742,8372,345091,8371,6955.73,5.5499,99.81,3.9229,Preposition,225639.0,0.64,Preposition.Adverb.Noun.Adjective,225639.129167.22.13,225639
about,185206,8321,179962,8313,3631.49,5.2677,99.2,3.9202,Preposition,164260.0,0.89,Preposition.Adverb.Noun,164260.20769.13,164260
at,164072,8346,153482,8335,3217.1,5.215,99.5,3.9215,Preposition,142253.0,0.87,Preposition.Adverb.Noun,142253.21653.14,142253
like,203947,8341,190081,8340,3998.96,5.3095,99.44,3.9213,Preposition,111581.0,0.55,Preposition.Verb.Conjunction.Adverb.Adjective.Noun.Name,111581.69662.11417.6065.4991.67.7,111581
from,103992,8306,97961,8294,2039.06,5.017,99.02,3.9194,Preposition,102162.0,0.98,Preposition.Adverb.Noun.Name,102162.1692.5.1,102162
by,68364,8203,61693,8153,1340.47,4.8348,97.79,3.914,Preposition,61855.0,0.91,Preposition.Adverb.Noun,61855.6408.8,61855
out,197131,8343,193517,8339,3865.31,5.2948,99.46,3.9214,Adverb,141761.0,0.72,Adverb.Preposition.Adjective.Noun,141761.55045.82.2,55045
into,43074,7876,42661,7868,844.59,4.6342,93.9,3.8964,Preposition,43044.0,1.0,Preposition,43044,43044
as,113068,8239,99083,8201,2217.02,5.0533,98.22,3.9159,Conjunction,69103.0,0.61,Conjunction.Preposition.Adverb.Noun,69103.22703.21130.17,22703
after,34812,7645,27459,7337,682.59,4.5417,91.14,3.8834,Preposition,22113.0,0.64,Preposition.Conjunction.Adverb.Adjective.Noun,22113.11967.568.110.7,22113
over,67488,8171,63199,8142,1323.29,4.8292,97.41,3.9123,Adverb,46641.0,0.69,Adverb.Preposition.Noun.Adjective.Name,46641.20492.249.39.1,20492
through,28026,7204,27209,7159,549.53,4.4476,85.88,3.8576,Preposition,20394.0,0.73,Preposition.Adverb.Adjective.Noun,20394.7467.124.4,20394
without,18087,6512,16187,6282,354.65,4.2574,77.63,3.8138,Preposition,17868.0,0.99,Preposition.Adverb.Noun,17868.196.2,17868
off,60155,8058,59292,8047,1179.51,4.7793,96.07,3.9063,Adverb,42420.0,0.71,Adverb.Preposition.Adjective.Noun,42420.17363.332.1,17363
up,187170,8345,184579,8342,3670.0,5.2722,99.49,3.9215,Adverb,172938.0,0.93,Adverb.Preposition.Verb.Adjective.Noun,172938.12815.641.531.12,12815
under,13358,5576,12475,5447,261.92,4.1258,66.48,3.7464,Preposition,12003.0,0.9,Preposition.Adverb.Name,12003.1343.6,12003
against,10288,4528,9977,4466,201.73,4.0124,53.98,3.656,Preposition,10284.0,1.0,Preposition,10284,10284
before,40501,7914,37297,7815,794.14,4.6075,94.35,3.8985,Conjunction,18729.0,0.46,Conjunction.Adverb.Preposition,18729.11619.10124,10124
around,37573,7563,37074,7548,736.73,4.5749,90.16,3.8788,Adverb,27586.0,0.74,Adverb.Preposition.Noun,27586.9933.2,9933
between,8932,4654,8431,4504,175.14,3.951,55.48,3.6679,Preposition,8585.0,0.96,Preposition.Adverb.Adjective.Noun,8585.291.30.1,8585
away,37276,7580,36915,7567,730.9,4.5714,90.37,3.8797,Adverb,29181.0,0.78,Adverb.Preposition.Adjective,29181.7848.163,7848
behind,9581,4729,9093,4630,187.86,3.9815,56.38,3.6749,Preposition,7493.0,0.78,Preposition.Adverb.Noun,7493.1939.141,7493
because,54622,7910,35833,7430,1071.02,4.7374,94.3,3.8982,Conjunction,49929.0,0.92,Conjunction.Preposition.Noun,49929.4612.25,4612
worth,5569,3301,5387,3248,109.2,3.7459,39.35,3.5188,Preposition,4517.0,0.81,Preposition.Noun.Name,4517.978.66,4517
down,76004,8161,73713,8147,1490.27,4.8808,97.29,3.9118,Adverb,70578.0,0.93,Adverb.Preposition.Noun.Adjective.Verb.Name,70578.4311.441.261.167.130,4311
across,4801,2892,4577,2814,94.14,3.6814,34.48,3.4613,Preposition,4141.0,0.86,Preposition.Adverb,4141.652,4141
front,9259,4589,8995,4530,181.55,3.9666,54.71,3.6618,Preposition,4124.0,0.45,Preposition.Noun.Adjective.Adverb.Verb.Name,4124.2504.2162.322.127.9,4124
during,3872,2524,3369,2310,75.92,3.588,30.09,3.4023,Preposition,3865.0,1.0,Preposition,3865,3865
