Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Verb_freq
do,312915,8348,262536,8340,6135.59,5.4954,99.52,3.9216,Verb,629203.0,1.0,Verb.Noun,629203.22,629203
is,459663,8370,420989,8364,9013.0,5.6624,99.79,3.9228,Verb,488770.0,1.0,Verb.Adverb.Noun.Name,488770.730.14.1,488770
have,314232,8363,296664,8354,6161.41,5.4973,99.7,3.9224,Verb,332099.0,1.0,Verb.Noun,332099.104,332099
was,288391,8345,282414,8340,5654.73,5.46,99.49,3.9215,Verb,309709.0,1.0,Verb.Noun,309709.4,309709
be,293085,8363,285000,8361,5746.76,5.467,99.7,3.9224,Verb,292904.0,1.0,Verb.Noun,292904.68,292904
know,291780,8340,289957,8337,5721.18,5.4651,99.43,3.9212,Verb,291207.0,1.0,Verb.Noun,291207.50,291207
are,265672,8362,225936,8358,5209.25,5.4243,99.69,3.9224,Verb,277220.0,1.0,Verb.Noun,277220.9,277220
get,233772,8336,190325,8320,4583.76,5.3688,99.38,3.921,Verb,233452.0,1.0,Verb.Noun,233452.18,233452
did,119410,8306,88757,8272,2341.37,5.077,99.02,3.9194,Verb,199195.0,1.0,Verb.Noun,199195.18,199195
got,168631,8249,160730,8243,3306.49,5.2269,98.34,3.9165,Verb,194337.0,1.0,Verb.Noun,194337.44,194337
go,193445,8343,161541,8329,3793.04,5.2866,99.46,3.9214,Verb,189923.0,0.98,Verb.Noun,189923.3299,189923
can,267620,8353,234662,8349,5247.45,5.4275,99.58,3.9219,Verb,179746.0,0.99,Verb.Noun.Name,179746.1035.1,179746
come,160190,8335,78700,8236,3140.98,5.2046,99.37,3.921,Verb,159923.0,1.0,Verb.Noun,159923.6,159923
want,140718,8305,137089,8293,2759.18,5.1484,99.01,3.9194,Verb,140488.0,1.0,Verb.Noun,140488.135,140488
think,137261,8301,132601,8297,2691.39,5.1376,98.96,3.9192,Verb,136706.0,1.0,Verb.Noun,136706.489,136706
see,130393,8326,112999,8314,2556.73,5.1153,99.26,3.9205,Verb,130089.0,1.0,Verb.Noun.Name,130089.144.8,130089
let,123381,8307,56197,8112,2419.24,5.0913,99.03,3.9195,Verb,121604.0,1.0,Verb.Noun.Preposition.Name,121604.228.179.3,121604
would,90162,8268,78316,8225,1767.88,4.955,98.57,3.9175,Verb,112976.0,1.0,Verb.Noun,112976.5,112976
going,108288,8238,106853,8235,2123.29,5.0346,98.21,3.9159,Verb,107939.0,1.0,Verb.Noun.Adjective,107939.189.90,107939
will,108306,8129,96790,8073,2123.65,5.0347,96.91,3.9101,Verb,103247.0,0.95,Verb.Noun.Name,103247.2976.1985,103247
gon,65,23,61,22,1.27,1.8195,0.27,1.3802,Verb,101748.0,1.0,Verb.Noun.Name,101748.96.4,101748
could,83109,8233,75735,8207,1629.59,4.9197,98.15,3.9156,Verb,99800.0,1.0,Verb.Noun,99800.2,99800
take,96443,8299,77165,8250,1891.04,4.9843,98.94,3.9191,Verb,96012.0,1.0,Verb.Noun.Name,96012.343.3,96012
were,84804,8237,82265,8225,1662.82,4.9284,98.2,3.9158,Verb,91818.0,1.0,Verb.Adverb.Noun,91818.78.2,91818
ca,109,81,48,42,2.14,2.0414,0.97,1.9138,Verb,91217.0,1.0,Verb.Name,91217.33,91217
look,99311,8290,56177,8107,1947.27,4.997,98.83,3.9186,Verb,89292.0,0.9,Verb.Noun.Name,89292.9750.5,89292
been,88573,8261,87482,8254,1736.73,4.9473,98.49,3.9171,Verb,88499.0,1.0,Verb.Noun,88499.23,88499
