can,267620,8353,234662,8349,"5247,45","5,4275","99,58","3,9219"
right,204428,8320,181467,8310,"4008,39","5,3105","99,19","3,9202"
good,133117,8316,90673,8267,"2610,14","5,1242","99,14","3,9200"
time,99890,8308,96603,8303,"1958,63","4,9995","99,05","3,9195"
want,140718,8305,137089,8293,"2759,18","5,1484","99,01","3,9194"
look,99311,8290,56177,8107,"1947,27","4,9970","98,83","3,9186"
back,102467,8273,98533,8267,"2009,16","5,0106","98,63","3,9177"
going,108288,8238,106853,8235,"2123,29","5,0346","98,21","3,9159"
something,76508,8231,69678,8203,"1500,16","4,8837","98,13","3,9155"
way,72661,8222,71259,8206,"1424,73","4,8613","98,02","3,9150"
down,76004,8161,73713,8147,"1490,27","4,8808","97,29","3,9118"
Well,152523,8146,31974,7283,"2990,65","5,1833","97,11","3,9110"
will,108306,8129,96790,8073,"2123,65","5,0347","96,91","3,9101"
tell,87949,8121,71814,8051,"1724,49","4,9442","96,82","3,9097"
need,66040,8076,65122,8064,"1294,90","4,8198","96,28","3,9073"
thing,55522,8058,55245,8057,"1088,67","4,7445","96,07","3,9063"
man,94133,8054,84739,7956,"1845,75","4,9737","96,02","3,9061"
mean,63443,8032,63218,8027,"1243,98","4,8024","95,76","3,9049"
doing,52492,7954,51900,7950,"1029,25","4,7201","94,83","3,9006"
anything,46270,7929,41538,7827,"907,25","4,6653","94,53","3,8993"
people,56252,7889,50482,7791,"1102,98","4,7501","94,05","3,8971"
first,42869,7861,36848,7681,"840,57","4,6322","93,72","3,8955"
nothing,43534,7851,29680,7375,"853,61","4,6388","93,60","3,8950"
put,42251,7840,33394,7630,"828,45","4,6258","93,47","3,8944"
thought,41232,7829,39986,7791,"808,47","4,6152","93,34","3,8938"
still,40225,7811,36992,7748,"788,73","4,6045","93,12","3,8928"
help,46977,7745,39534,7651,"921,12","4,6719","92,33","3,8891"
other,37505,7738,36688,7709,"735,39","4,5741","92,25","3,8887"
Maybe,47249,7737,18779,6368,"926,45","4,6744","92,24","3,8886"
last,36878,7731,33303,7591,"723,10","4,5668","92,17","3,8883"
day,40893,7727,38926,7687,"801,82","4,6117","92,12","3,8881"
wait,42343,7709,21510,6736,"830,25","4,6268","91,91","3,8871"
work,40699,7670,39739,7637,"798,02","4,6096","91,44","3,8849"
talk,43605,7619,41204,7559,"855,00","4,6395","90,83","3,8820"
life,40629,7596,38855,7561,"796,65","4,6088","90,56","3,8806"
keep,35846,7569,27632,7279,"702,86","4,5545","90,24","3,8791"
call,43931,7556,38761,7453,"861,39","4,6428","90,08","3,8783"
home,39491,7452,38202,7405,"774,33","4,5965","88,84","3,8723"
stop,36071,7421,22076,6825,"707,27","4,5572","88,47","3,8705"
night,44168,7381,42911,7343,"866,04","4,6451","87,99","3,8682"
love,56864,7377,53246,7307,"1114,98","4,7548","87,95","3,8679"
everything,33399,7368,26025,7056,"654,88","4,5237","87,84","3,8674"
kind,30125,7317,28973,7259,"590,69","4,4789","87,23","3,8644"
place,30736,7279,30163,7246,"602,67","4,4877","86,78","3,8621"
feel,31989,7265,30778,7206,"627,24","4,5050","86,61","3,8613"
wrong,26678,7245,25814,7184,"523,10","4,4262","86,37","3,8601"
leave,28596,7185,24226,6947,"560,71","4,4563","85,66","3,8565"
lot,29066,7185,28738,7165,"569,92","4,4634","85,66","3,8565"
Thanks,31789,7149,7764,4235,"623,31","4,5023","85,23","3,8543"
fine,30502,7135,22797,6582,"598,08","4,4843","85,06","3,8535"
might,26334,7121,25113,7061,"516,35","4,4205","84,90","3,8526"
being,24781,7083,23724,7019,"485,90","4,3941","84,44","3,8503"
try,24314,7053,19980,6708,"476,75","4,3859","84,08","3,8484"
name,32735,7031,31694,6977,"641,86","4,5150","83,82","3,8471"
left,24707,7001,23534,6957,"484,45","4,3928","83,46","3,8452"
talking,25385,6952,24944,6924,"497,75","4,4046","82,88","3,8422"
care,24748,6945,24275,6903,"485,25","4,3936","82,80","3,8417"
God,46061,6940,2983,1035,"903,16","4,6633","82,74","3,8414"
mind,24715,6870,23477,6771,"484,61","4,3930","81,90","3,8370"
stay,26298,6834,20425,6440,"515,65","4,4199","81,47","3,8347"
yourself,22151,6802,22092,6799,"434,33","4,3454","81,09","3,8327"
someone,22752,6749,18537,6387,"446,12","4,3570","80,46","3,8293"
guess,23153,6694,20687,6474,"453,98","4,3646","79,80","3,8258"
course,24848,6666,24319,6604,"487,22","4,3953","79,47","3,8239"
show,24906,6630,21991,6367,"488,35","4,3963","79,04","3,8216"
guy,38893,6594,37462,6561,"762,61","4,5899","78,61","3,8192"
today,22124,6570,19725,6367,"433,80","4,3449","78,33","3,8176"
hold,22273,6456,11686,5250,"436,73","4,3478","76,97","3,8100"
real,22583,6453,21376,6375,"442,80","4,3538","76,93","3,8098"
use,17536,6453,16114,6273,"343,84","4,2440","76,93","3,8098"
whole,19660,6432,19465,6418,"385,49","4,2936","76,68","3,8084"
haven,18844,6421,17293,6253,"369,49","4,2752","76,55","3,8077"
saw,20527,6419,20230,6394,"402,49","4,3123","76,53","3,8075"
Hello,29857,6405,3228,2089,"585,43","4,4751","76,36","3,8066"
idea,18311,6359,18296,6357,"359,04","4,2627","75,81","3,8035"
start,17345,6330,15866,6151,"340,10","4,2392","75,46","3,8015"
many,18331,6297,17336,6219,"359,43","4,2632","75,07","3,7992"
head,18947,6294,18207,6235,"371,51","4,2776","75,04","3,7990"
room,22415,6251,21385,6167,"439,51","4,3506","74,52","3,7960"
matter,18900,6242,18687,6217,"370,59","4,2765","74,42","3,7954"
world,23216,6194,21342,6027,"455,22","4,3658","73,84","3,7920"
friend,21384,6178,20982,6147,"419,29","4,3301","73,65","3,7909"
girl,28413,6143,27239,6094,"557,12","4,4535","73,24","3,7885"
most,17889,6134,15492,5771,"350,76","4,2526","73,13","3,7878"
boy,27021,6133,22615,5690,"529,82","4,4317","73,12","3,7877"
hope,16352,6123,14961,5922,"320,63","4,2136","73,00","3,7870"
minute,19252,6066,19204,6057,"377,49","4,2845","72,32","3,7830"
run,17878,6063,14980,5811,"350,55","4,2523","72,28","3,7828"
morning,22389,6055,19916,5904,"439,00","4,3501","72,19","3,7822"
Excuse,18773,6042,4153,2872,"368,10","4,2736","72,03","3,7813"
house,26214,6040,24470,5849,"514,00","4,4185","72,01","3,7811"
few,15393,6032,15262,6005,"301,82","4,1874","71,91","3,7805"
meet,17966,5986,16880,5826,"352,27","4,2545","71,36","3,7772"
job,21063,5983,20853,5957,"413,00","4,3235","71,33","3,7770"
turn,15630,5931,12394,5519,"306,47","4,1940","70,71","3,7732"
dead,22898,5926,21564,5824,"448,98","4,3598","70,65","3,7728"
woman,22166,5925,20418,5744,"434,63","4,3457","70,64","3,7728"
watch,16831,5882,11063,4994,"330,02","4,2261","70,12","3,7696"
problem,16833,5872,16547,5840,"330,06","4,2262","70,00","3,7689"
hell,24012,5843,21531,5678,"470,82","4,3804","69,66","3,7667"
somebody,17571,5814,12595,5100,"344,53","4,2448","69,31","3,7645"
tonight,21047,5748,18906,5569,"412,69","4,3232","68,53","3,7596"
second,14513,5734,13210,5498,"284,57","4,1618","68,36","3,7585"
worry,14638,5727,14549,5716,"287,02","4,1655","68,28","3,7580"
thinking,14353,5707,14047,5674,"281,43","4,1570","68,04","3,7565"
kill,23081,5700,21184,5610,"452,57","4,3633","67,95","3,7560"
everybody,17555,5691,10979,4685,"344,22","4,2444","67,85","3,7553"
end,13559,5673,12881,5552,"265,86","4,1323","67,63","3,7539"
tomorrow,17134,5661,14712,5403,"335,96","4,2339","67,49","3,7530"
money,32679,5647,31545,5609,"640,76","4,5143","67,32","3,7519"
face,14747,5610,14152,5529,"289,16","4,1687","66,88","3,7490"
part,13337,5604,12790,5508,"261,51","4,1251","66,81","3,7486"
anyone,13018,5562,11462,5272,"255,25","4,1146","66,31","3,7453"
hand,14262,5562,13466,5431,"279,65","4,1542","66,31","3,7453"
mother,24476,5556,19376,5299,"479,92","4,3888","66,24","3,7448"
father,28279,5446,21688,5139,"554,49","4,4515","64,93","3,7362"
Miss,23850,5432,8516,4163,"467,65","4,3775","64,76","3,7350"
stuff,15653,5429,15337,5392,"306,92","4,1946","64,72","3,7348"
mine,12800,5426,11620,5229,"250,98","4,1072","64,69","3,7346"
making,11349,5422,10718,5293,"222,53","4,0550","64,64","3,7342"
working,12775,5370,12285,5275,"250,49","4,1064","64,02","3,7301"
chance,12303,5343,12079,5334,"241,24","4,0900","63,70","3,7279"
play,18081,5343,17006,5231,"354,53","4,2572","63,70","3,7279"
family,18067,5340,17344,5255,"354,25","4,2569","63,66","3,7276"
check,14228,5293,10674,4744,"278,98","4,1532","63,10","3,7238"
door,14895,5286,14339,5228,"292,06","4,1731","63,02","3,7232"
change,12258,5259,11614,5139,"240,35","4,0885","62,70","3,7210"
means,11136,5250,10949,5198,"218,35","4,0468","62,59","3,7202"
deal,13330,5231,12637,5123,"261,37","4,1249","62,36","3,7187"
point,12063,5202,11289,5072,"236,53","4,0815","62,02","3,7163"
business,16371,5186,15850,5136,"321,00","4,2141","61,83","3,7149"
set,11805,5185,10786,5007,"231,47","4,0721","61,81","3,7148"
close,11191,5181,9558,4849,"219,43","4,0489","61,77","3,7145"
car,24636,5154,23946,5106,"483,06","4,3916","61,44","3,7122"
word,12013,5147,11452,5030,"235,55","4,0797","61,36","3,7116"
son,20949,5145,18329,4838,"410,76","4,3212","61,34","3,7115"
Nobody,13599,5143,6710,3537,"266,65","4,1335","61,31","3,7113"
rest,10861,5142,10547,5082,"212,96","4,0359","61,30","3,7112"
sir,49188,5141,40651,4745,"964,47","4,6919","61,29","3,7111"
hurt,12564,5123,12407,5102,"246,35","4,0992","61,08","3,7096"
everyone,12324,5106,8565,4307,"241,65","4,0908","60,87","3,7082"
hit,14025,5092,12275,4887,"275,00","4,1469","60,71","3,7070"
baby,25978,5088,22729,4918,"509,37","4,4146","60,66","3,7066"
bit,11987,5084,11793,5059,"235,04","4,0787","60,61","3,7063"
crazy,13886,5039,13059,4950,"272,27","4,1426","60,07","3,7024"
week,12164,5024,12051,5001,"238,51","4,0851","59,90","3,7011"
break,11275,5023,10114,4862,"221,08","4,0522","59,88","3,7010"
men,19011,4996,17450,4804,"372,76","4,2790","59,56","3,6987"
couple,11394,4989,10892,4873,"223,41","4,0567","59,48","3,6981"
year,14174,4981,13091,4891,"277,92","4,1515","59,38","3,6974"
waiting,10767,4980,10338,4897,"211,12","4,0321","59,37","3,6973"
wish,11991,4968,11419,4839,"235,12","4,0789","59,23","3,6963"
cause,15812,4946,9988,4274,"310,04","4,1990","58,97","3,6943"
cut,11718,4940,9347,4543,"229,76","4,0689","58,89","3,6938"
pay,12985,4936,12103,4787,"254,61","4,1135","58,85","3,6935"
stand,11536,4917,9252,4508,"226,20","4,0621","58,62","3,6918"
case,14403,4885,14006,4849,"282,41","4,1585","58,24","3,6890"
anybody,11573,4863,9361,4422,"226,92","4,0635","57,98","3,6870"
walk,11009,4848,10219,4695,"215,86","4,0418","57,80","3,6857"
reason,9858,4828,9783,4805,"193,29","3,9938","57,56","3,6839"
inside,10775,4811,10252,4715,"211,27","4,0325","57,36","3,6823"
wife,17795,4811,17592,4781,"348,92","4,2503","57,36","3,6823"
trouble,11401,4785,11010,4724,"223,55","4,0570","57,05","3,6800"
hate,10944,4752,10681,4700,"214,59","4,0392","56,65","3,6770"
read,12302,4733,11142,4497,"241,22","4,0900","56,43","3,6752"
pick,10118,4726,8512,4388,"198,39","4,0051","56,34","3,6746"
side,10247,4725,9820,4646,"200,92","4,0106","56,33","3,6745"
person,10857,4712,10784,4688,"212,88","4,0357","56,18","3,6733"
damn,14460,4711,7743,3458,"283,53","4,1602","56,16","3,6732"
half,10156,4685,9123,4473,"199,14","4,0068","55,85","3,6708"
young,12402,4685,11057,4483,"243,18","4,0935","55,85","3,6708"
sleep,11625,4661,10975,4565,"227,94","4,0654","55,57","3,6686"
die,13318,4657,12885,4602,"261,14","4,1245","55,52","3,6682"
fun,12010,4632,11650,4589,"235,49","4,0796","55,22","3,6659"
kid,17299,4625,15988,4556,"339,20","4,2380","55,14","3,6652"
front,9259,4589,8995,4530,"181,55","3,9666","54,71","3,6618"
question,10116,4587,9854,4528,"198,35","4,0051","54,69","3,6616"
heart,12453,4582,11952,4507,"244,18","4,0953","54,63","3,6611"
number,12288,4542,10586,4332,"240,94","4,0895","54,15","3,6573"
line,10515,4539,10060,4455,"206,18","4,0219","54,11","3,6571"
school,16989,4531,15967,4447,"333,12","4,2302","54,02","3,6563"
phone,13756,4502,13087,4436,"269,73","4,1385","53,67","3,6535"
welcome,9140,4499,4954,3160,"179,22","3,9610","53,64","3,6532"
high,9945,4450,8393,4173,"195,00","3,9976","53,05","3,6485"
outside,8671,4429,8207,4324,"170,02","3,9381","52,80","3,6464"
moment,9539,4391,9482,4374,"187,04","3,9795","52,35","3,6427"
fact,8801,4369,8649,4339,"172,57","3,9446","52,09","3,6405"
drink,12617,4353,11605,4198,"247,39","4,1010","51,90","3,6389"
Dad,25870,4351,9451,2954,"507,25","4,4128","51,87","3,6387"
answer,8986,4344,8076,4105,"176,20","3,9536","51,79","3,6380"
feeling,8577,4344,8180,4232,"168,18","3,9334","51,79","3,6380"
hour,8277,4343,8175,4323,"162,29","3,9179","51,78","3,6379"
full,8512,4326,7840,4186,"166,90","3,9301","51,57","3,6362"
buy,9814,4286,9138,4142,"192,43","3,9919","51,10","3,6322"
death,11051,4278,9811,4118,"216,69","4,0434","51,00","3,6313"
running,8054,4268,7692,4180,"157,92","3,9061","50,88","3,6303"
story,11260,4265,11048,4208,"220,78","4,0516","50,85","3,6300"
trust,9087,4242,7040,3577,"178,18","3,9585","50,57","3,6277"
shot,11599,4236,11300,4185,"227,43","4,0645","50,50","3,6271"
truth,9801,4193,9350,4095,"192,18","3,9913","49,99","3,6226"
honey,15325,4185,9954,3549,"300,49","4,1854","49,89","3,6218"
till,8503,4158,7743,3975,"166,73","3,9296","49,57","3,6190"
lady,11071,4129,8981,3792,"217,08","4,0442","49,23","3,6160"
water,11478,4127,10619,3999,"225,06","4,0599","49,20","3,6157"
town,12644,4116,12250,4047,"247,92","4,1019","49,07","3,6146"
bed,9543,4113,9407,4094,"187,12","3,9797","49,03","3,6143"
living,7983,4108,7628,4027,"156,53","3,9022","48,97","3,6137"
Mom,21950,4077,8199,2746,"430,39","4,3415","48,61","3,6104"
sound,7313,4069,6839,3922,"143,39","3,8642","48,51","3,6096"
touch,7534,4000,7145,3913,"147,73","3,8771","47,69","3,6022"
bet,8763,3981,8127,3829,"171,82","3,9427","47,46","3,6001"
news,8399,3976,7681,3838,"164,69","3,9243","47,40","3,5996"
office,10399,3975,9913,3902,"203,90","4,0170","47,39","3,5994"
body,9972,3961,9740,3912,"195,53","3,9988","47,22","3,5979"
dinner,10336,3958,9643,3853,"202,67","4,0144","47,19","3,5976"
fire,10990,3948,9099,3704,"215,49","4,0410","47,07","3,5965"
light,8425,3924,7737,3767,"165,20","3,9256","46,78","3,5938"
special,7577,3885,6616,3629,"148,57","3,8796","46,32","3,5895"
luck,7840,3874,7609,3815,"153,73","3,8944","46,19","3,5883"
promise,7809,3874,6857,3687,"153,12","3,8927","46,19","3,5883"
sick,8437,3867,8126,3798,"165,43","3,9262","46,10","3,5875"
sense,6722,3839,6671,3825,"131,80","3,8276","45,77","3,5843"
order,7985,3825,7264,3695,"156,57","3,9023","45,60","3,5827"
brother,14481,3795,12937,3681,"283,94","4,1608","45,24","3,5793"
game,11926,3774,11451,3698,"233,84","4,0765","44,99","3,5769"
catch,6911,3765,6227,3542,"135,51","3,8396","44,89","3,5759"
sort,7584,3753,6943,3526,"148,71","3,8800","44,74","3,5745"
party,11890,3724,11254,3620,"233,14","4,0752","44,40","3,5711"
drive,7810,3714,7009,3479,"153,14","3,8927","44,28","3,5700"
doctor,13461,3703,9101,3267,"263,94","4,1291","44,15","3,5687"
fight,10255,3703,9638,3647,"201,08","4,0110","44,15","3,5687"
figure,6598,3693,6356,3613,"129,37","3,8195","44,03","3,5675"
Hurry,8856,3638,4188,2554,"173,65","3,9473","43,37","3,5610"
past,6312,3633,6153,3582,"123,76","3,8002","43,31","3,5604"
hair,7831,3632,7535,3582,"153,55","3,8939","43,30","3,5603"
top,6805,3606,6080,3440,"133,43","3,8329","42,99","3,5571"
food,7876,3605,7355,3494,"154,43","3,8964","42,98","3,5570"
wonder,5966,3567,5465,3364,"116,98","3,7758","42,53","3,5524"
drop,6661,3548,4982,3033,"130,61","3,8236","42,30","3,5501"
plan,7432,3528,7109,3476,"145,73","3,8712","42,06","3,5477"
somewhere,5688,3528,5142,3331,"111,53","3,7550","42,06","3,5477"
blood,9492,3526,8698,3393,"186,12","3,9774","42,04","3,5474"
safe,7303,3522,6950,3433,"143,20","3,8636","41,99","3,5469"
sign,6797,3519,6282,3379,"133,27","3,8324","41,95","3,5465"
piece,6349,3510,6090,3426,"124,49","3,8028","41,85","3,5454"
cold,6638,3509,6101,3347,"130,16","3,8221","41,83","3,5453"
street,7557,3411,5281,2861,"148,18","3,8784","40,67","3,5330"
ass,11545,3379,11381,3359,"226,37","4,0624","40,28","3,5289"
husband,9935,3377,9797,3359,"194,80","3,9972","40,26","3,5287"
possible,5816,3373,5634,3317,"114,04","3,7647","40,21","3,5281"
police,12044,3369,9934,3146,"236,16","4,0808","40,16","3,5276"
white,8744,3355,6335,2804,"171,45","3,9418","40,00","3,5258"
lie,6133,3353,5740,3231,"120,25","3,7877","39,97","3,5256"
