aardvark,21,12,14,8,0.41,1.3424,0.14,1.1139,Noun,16,0.76,Noun.Verb.Name,16.3.2
abacus,12,10,10,9,0.24,1.1139,0.12,1.0414,Noun,11,0.92,Noun.Name,11.1
abbey,162,53,45,20,3.18,2.2122,0.63,1.7324,Noun,152,0.94,Noun.Name,152.10
abbreviation,12,8,12,8,0.24,1.1139,0.10,0.9542,Noun,12,1.00,Noun,12
abdomen,171,122,152,116,3.35,2.2355,1.45,2.0899,Noun,171,1.00,Noun,171
ability,980,679,974,673,19.22,2.9917,8.09,2.8325,Noun,975,1.00,Noun,975
abnormality,26,20,26,20,0.51,1.4314,0.24,1.3222,Noun,26,1.00,Noun,26
abortion,369,155,354,149,7.24,2.5682,1.85,2.1931,Noun,370,1.00,Noun,370
absence,322,285,314,281,6.31,2.5092,3.40,2.4564,Noun,321,1.00,Noun,321
abundance,45,41,45,41,0.88,1.6628,0.49,1.6232,Noun,45,1.00,Noun,45
abuse,523,409,503,396,10.25,2.7193,4.88,2.6128,Noun,404,0.77,Noun.Verb.Name,404.118.1
academics,35,31,33,30,0.69,1.5563,0.37,1.5051,Noun,34,1.00,Noun,34
academy,633,345,284,156,12.41,2.8021,4.11,2.5391,Noun,633,1.00,Noun,633
accelerant,28,13,25,13,0.55,1.4624,0.15,1.1461,Noun,28,1.00,Noun,28
accelerator,69,47,66,45,1.35,1.8451,0.56,1.6812,Noun,69,1.00,Noun,69
accent,621,447,595,438,12.18,2.7938,5.33,2.6513,Noun,609,0.98,Noun.Verb,609.12
acceptance,161,140,150,134,3.16,2.2095,1.67,2.1492,Noun,162,1.00,Noun,162
access,1615,923,1483,879,31.67,3.2084,11.00,2.9657,Noun,1318,0.82,Noun.Verb,1318.283
accessory,147,125,141,122,2.88,2.1703,1.49,2.1004,Noun,110,0.75,Noun.Adjective,110.37
accident,4146,2180,4061,2166,81.29,3.6177,25.99,3.3387,Noun,4138,1.00,Noun,4138
accommodation,48,45,44,42,0.94,1.6902,0.54,1.6628,Noun,48,1.00,Noun,48
accompanist,10,8,10,8,0.20,1.0414,0.10,0.9542,Noun,10,1.00,Noun,10
accomplishment,96,87,95,86,1.88,1.9868,1.04,1.9445,Noun,96,1.00,Noun,96
accord,83,66,77,63,1.63,1.9243,0.79,1.8261,Noun,62,0.82,Noun.Verb.Preposition,62.8.6
accordance,81,66,81,66,1.59,1.9138,0.79,1.8261,Preposition,71,0.88,Preposition.Noun,71.10
accordion,67,46,63,44,1.31,1.8325,0.55,1.6721,Noun,66,1.00,Noun,66
account,2280,1386,2253,1375,44.71,3.3581,16.52,3.1421,Noun,1587,0.70,Noun.Preposition.Verb,1587.355.335
accountability,24,17,20,17,0.47,1.3979,0.20,1.2553,Noun,24,1.00,Noun,24
accountant,315,191,303,185,6.18,2.4997,2.28,2.2833,Noun,315,1.00,Noun,315
accounting,230,179,186,151,4.51,2.3636,2.13,2.2553,Noun,180,0.78,Noun.Verb.Adjective,180.47.3
accuracy,76,65,73,63,1.49,1.8865,0.77,1.8195,Noun,76,1.00,Noun,76
accusation,143,128,142,128,2.80,2.1584,1.53,2.1106,Noun,143,1.00,Noun,143
acetate,6,5,5,4,0.12,0.8451,0.06,0.7782,Noun,6,1.00,Noun,6
achievement,178,159,169,153,3.49,2.2529,1.90,2.2041,Noun,178,1.00,Noun,178
achiever,12,12,11,11,0.24,1.1139,0.14,1.1139,Verb,11,0.92,Verb.Name,11.1
acid,508,323,466,305,9.96,2.7067,3.85,2.5105,Noun,502,0.99,Noun.Adjective,502.6
acknowledgment,26,26,26,26,0.51,1.4314,0.31,1.4314,Noun,26,1.00,Noun,26
acorn,37,16,29,14,0.73,1.5798,0.19,1.2304,Noun,37,1.00,Noun,37
acoustics,22,22,22,22,0.43,1.3617,0.26,1.3617,Noun,22,1.00,Noun,22
acquaintance,273,229,271,228,5.35,2.4378,2.73,2.3617,Noun,271,1.00,Noun,271
acquisition,74,64,71,62,1.45,1.8751,0.76,1.8129,Noun,74,1.00,Noun,74
acre,93,55,67,50,1.82,1.9731,0.66,1.7482,Noun,93,1.00,Noun,93
acrylic,23,15,21,14,0.45,1.3802,0.18,1.2041,Adjective,19,0.83,Adjective.Noun,19.4
act,5565,3086,5100,2923,109.12,3.7455,36.79,3.4895,Verb,2823,0.51,Verb.Noun.Name,2823.2739.3
action,3115,1857,2748,1737,61.08,3.4936,22.14,3.2690,Noun,3098,1.00,Noun.Verb.Name,3098.7.2
activation,43,33,40,30,0.84,1.6435,0.39,1.5315,Noun,43,1.00,Noun,43
activist,50,40,47,37,0.98,1.7076,0.48,1.6128,Noun,50,1.00,Noun,50
activity,657,519,650,513,12.88,2.8182,6.19,2.7160,Noun,657,1.00,Noun,657
actor,1343,574,1293,561,26.33,3.1284,6.84,2.7597,Noun,1336,1.00,Noun.Name,1336.1
actress,817,379,783,370,16.02,2.9128,4.52,2.5798,Noun,814,1.00,Noun,814
acupuncture,37,28,32,25,0.73,1.5798,0.33,1.4624,Noun,37,1.00,Noun,37
ad,694,432,630,391,13.61,2.8420,5.15,2.6365,Noun,609,0.89,Noun.Adverb.Adjective,609.68.6
adaptation,81,70,34,27,1.59,1.9138,0.83,1.8513,Noun,81,1.00,Noun,81
adapter,11,7,11,7,0.22,1.0792,0.08,0.9031,Noun,11,1.00,Noun,11
addiction,199,130,192,126,3.90,2.3010,1.55,2.1173,Noun,199,1.00,Noun,199
addition,395,361,392,359,7.75,2.5977,4.30,2.5587,Preposition,185,0.47,Preposition.Noun.Adverb,185.148.59
address,2666,1688,2571,1642,52.27,3.4260,20.12,3.2276,Noun,2299,0.86,Noun.Verb,2299.359
adjective,25,21,23,20,0.49,1.4150,0.25,1.3424,Noun,25,1.00,Noun,25
adjustment,158,129,152,125,3.10,2.2014,1.54,2.1139,Noun,157,1.00,Noun,157
admin,22,19,11,10,0.43,1.3617,0.23,1.3010,Noun,17,0.77,Noun.Name,17.5
administration,387,286,315,234,7.59,2.5888,3.41,2.4579,Noun,387,1.00,Noun,387
administrator,84,68,77,64,1.65,1.9294,0.81,1.8388,Noun,83,1.00,Noun,83
admire,722,597,709,591,14.16,2.8591,7.12,2.7767,Verb,723,1.00,Verb,723
admission,181,164,167,153,3.55,2.2601,1.96,2.2175,Noun,181,1.00,Noun,181
adobe,24,14,8,8,0.47,1.3979,0.17,1.1761,Noun,23,1.00,Noun,23
adoption,239,140,227,135,4.69,2.3802,1.67,2.1492,Noun,239,1.00,Noun,239
adrenalin,28,23,22,18,0.55,1.4624,0.27,1.3802,Noun,27,0.96,Noun.Name,27.1
adrenaline,168,128,143,116,3.29,2.2279,1.53,2.1106,Noun,126,0.75,Noun.Verb.Name,126.35.6
adult,729,573,699,559,14.29,2.8633,6.83,2.7589,Noun,656,0.90,Noun.Adjective,656.70
adulthood,37,33,37,33,0.73,1.5798,0.39,1.5315,Noun,36,1.00,Noun,36
advance,815,654,752,617,15.98,2.9117,7.80,2.8162,Noun,592,0.73,Noun.Verb.Adjective,592.215.7
advancement,63,58,56,53,1.24,1.8062,0.69,1.7709,Noun,63,1.00,Noun,63
advantage,1125,918,1114,912,22.06,3.0515,10.94,2.9633,Noun,1121,1.00,Noun.Verb,1121.2
advent,24,18,16,16,0.47,1.3979,0.21,1.2788,Noun,24,1.00,Noun,24
adverb,10,6,6,4,0.20,1.0414,0.07,0.8451,Noun,10,1.00,Noun,10
advertisement,61,52,59,50,1.20,1.7924,0.62,1.7243,Noun,61,1.00,Noun,61
advertising,379,235,347,219,7.43,2.5798,2.80,2.3729,Noun,339,0.90,Noun.Verb,339.39
advice,2447,1679,2413,1664,47.98,3.3888,20.02,3.2253,Noun,2447,1.00,Noun,2447
adviser,53,45,49,41,1.04,1.7324,0.54,1.6628,Noun,53,1.00,Noun,53
advocacy,15,14,14,13,0.29,1.2041,0.17,1.1761,Noun,15,1.00,Noun,15
advocate,113,96,94,83,2.22,2.0569,1.14,1.9868,Noun,75,0.66,Noun.Verb.Name,75.37.1
affair,1502,834,1467,821,29.45,3.1770,9.94,2.9217,Noun,1502,1.00,Noun,1502
affect,568,482,566,481,11.14,2.7551,5.75,2.6839,Verb,543,0.95,Verb.Noun,543.26
affidavit,100,64,100,64,1.96,2.0043,0.76,1.8129,Noun,100,1.00,Noun,100
affiliate,15,11,14,11,0.29,1.2041,0.13,1.0792,Noun,15,1.00,Noun,15
affinity,29,27,29,27,0.57,1.4771,0.32,1.4472,Noun,29,1.00,Noun,29
afoul,11,10,11,10,0.22,1.0792,0.12,1.0414,Noun,11,1.00,Noun,11
afterlife,81,62,79,61,1.59,1.9138,0.74,1.7993,Noun,82,1.00,Noun,82
aftermath,53,51,51,49,1.04,1.7324,0.61,1.7160,Noun,53,1.00,Noun,53
afternoon,4666,2597,4410,2505,91.49,3.6690,30.96,3.4146,Noun,4660,1.00,Noun,4660
aftershave,55,44,53,44,1.08,1.7482,0.52,1.6532,Noun,50,0.93,Noun.Verb,50.4
aftershock,12,12,10,10,0.24,1.1139,0.14,1.1139,Noun,10,0.83,Noun.Verb,10.2
afterthought,13,12,13,12,0.25,1.1461,0.14,1.1139,Noun,13,1.00,Noun,13
age,4039,2499,3772,2388,79.20,3.6064,29.79,3.3979,Noun,3914,0.97,Noun.Verb,3914.114
agency,991,588,773,482,19.43,2.9965,7.01,2.7701,Noun,988,1.00,Noun,988
agenda,373,272,360,267,7.31,2.5729,3.24,2.4362,Noun,372,1.00,Noun.Name,372.1
