Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Noun_freq
time,99890,8308,96603,8303,1958.63,4.9995,99.05,3.9195,Noun,98420.0,0.99,Noun.Verb.Adverb,98420.725.656,98420
man,94133,8054,84739,7956,1845.75,4.9737,96.02,3.9061,Noun,93487.0,1.0,Noun.Verb.Name,93487.401.45,93487
way,72661,8222,71259,8206,1424.73,4.8613,98.02,3.915,Noun,71592.0,0.99,Noun.Adverb.Preposition.Name,71592.899.94.6,71592
people,56252,7889,50482,7791,1102.98,4.7501,94.05,3.8971,Noun,56170.0,1.0,Noun.Name,56170.2,56170
thing,55522,8058,55245,8057,1088.67,4.7445,96.07,3.9063,Noun,55460.0,1.0,Noun.Name,55460.22,55460
sir,49188,5141,40651,4745,964.47,4.6919,61.29,3.7111,Noun,49109.0,1.0,Noun.Name,49109.55,49109
night,44168,7381,42911,7343,866.04,4.6451,87.99,3.8682,Noun,44121.0,1.0,Noun,44121,44121
life,40629,7596,38855,7561,796.65,4.6088,90.56,3.8806,Noun,40575.0,1.0,Noun.Name,40575.1,40575
day,40893,7727,38926,7687,801.82,4.6117,92.12,3.8881,Noun,40424.0,0.99,Noun.Name,40424.357,40424
guy,38893,6594,37462,6561,762.61,4.5899,78.61,3.8192,Noun,37515.0,0.97,Noun.Name,37515.1324,37515
money,32679,5647,31545,5609,640.76,4.5143,67.32,3.7519,Noun,32603.0,1.0,Noun.Name,32603.14,32603
thanks,31789,7149,7764,4235,623.31,4.5023,85.23,3.8543,Noun,31251.0,0.98,Noun.Preposition.Verb.Name,31251.414.44.38,31251
name,32735,7031,31694,6977,641.86,4.515,83.82,3.8471,Noun,31220.0,0.96,Noun.Verb.Name,31220.1469.2,31220
place,30736,7279,30163,7246,602.67,4.4877,86.78,3.8621,Noun,28698.0,0.93,Noun.Verb.Preposition.Name,28698.1993.29.12,28698
girl,28413,6143,27239,6094,557.12,4.4535,73.24,3.7885,Noun,28298.0,1.0,Noun.Name,28298.3,28298
father,28279,5446,21688,5139,554.49,4.4515,64.93,3.7362,Noun,28090.0,1.0,Noun.Verb.Name,28090.35.26,28090
boy,27021,6133,22615,5690,529.82,4.4317,73.12,3.7877,Noun,26859.0,1.0,Noun.Name,26859.28,26859
baby,25978,5088,22729,4918,509.37,4.4146,60.66,3.7066,Noun,25918.0,1.0,Noun.Name,25918.13,25918
house,26214,6040,24470,5849,514.0,4.4185,72.01,3.7811,Noun,25883.0,0.99,Noun.Verb.Name,25883.210.66,25883
dad,25870,4351,9451,2954,507.25,4.4128,51.87,3.6387,Noun,25728.0,1.0,Noun.Name,25728.29,25728
car,24636,5154,23946,5106,483.06,4.3916,61.44,3.7122,Noun,24603.0,1.0,Noun.Name,24603.1,24603
mother,24476,5556,19376,5299,479.92,4.3888,66.24,3.7448,Noun,24151.0,0.99,Noun.Name.Verb,24151.114.72,24151
