Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
time,99890,8308,noun.verb.adverb,98420.725.656,98420,908705570.0
man,94133,8054,noun.verb.name,93487.401.45,93487,181445531.0
way,72661,8222,noun.adverb.preposition.name,71592.899.94.6,71592,305515604.0
people,56252,7889,noun.name,56170.2,56170,480303376.0
thing,55522,8058,noun.name,55460.22,55460,97451660.0
sir,49188,5141,noun.name,49109.55,49109,20336105.0
night,44168,7381,noun,44121,44121,130531484.0
life,40629,7596,noun.name,40575.1,40575,306559205.0
day,40893,7727,noun.name,40424.357,40424,446236148.0
guy,38893,6594,noun.name,37515.1324,37515,45286019.0
things,35337,7487,noun.verb,35306.7,35306,147969893.0
money,32679,5647,noun.name,32603.14,32603,190205072.0
thanks,31789,7149,noun.preposition.verb.name,31251.414.44.38,31251,91398411.0
name,32735,7031,noun.verb.name,31220.1469.2,31220,464532702.0
guys,32198,6085,noun.name.verb,30294.1894.27,30294,37603892.0
years,29003,6956,noun,28958,28958,337841309.0
place,30736,7279,noun.verb.preposition.name,28698.1993.29.12,28698,220970235.0
girl,28413,6143,noun.name,28298.3,28298,89139125.0
father,28279,5446,noun.verb.name,28090.35.26,28090,48580528.0
boy,27021,6133,noun.name,26859.28,26859,58664244.0
baby,25978,5088,noun.name,25918.13,25918,117696064.0
house,26214,6040,noun.verb.name,25883.210.66,25883,231310420.0
dad,25870,4351,noun.name,25728.29,25728,15136055.0
car,24636,5154,noun.name,24603.1,24603,264720374.0
mother,24476,5556,noun.name.verb,24151.114.72,24151,57432704.0
hell,24012,5843,noun.adverb.name,23950.157.3,23950,22791884.0
shit,24207,2531,noun.verb.name,23925.237.6,23925,14058658.0
world,23216,6194,noun.name,23151.6,23151,431934249.0
room,22415,6251,noun.verb.name,22338.43.1,22338,176299905.0
morning,22389,6055,noun,22336,22336,53444032.0
woman,22166,5925,noun.name,22099.9,22099,70613606.0
back,102467,8273,adverb.noun.verb.adjective.preposition.name,77642.21861.2424.354.72.2,21861,488024109.0
mom,21950,4077,noun.name,21822.32,21822,29736214.0
lot,29066,7185,noun.adverb.name,21770.7277.9,21770,106405208.0
friend,21384,6178,noun.name,21297.55,21297,154527125.0
kind,30125,7317,noun.adverb.adjective,21140.7926.1040,21140,70420316.0
job,21063,5983,noun.name,21043.1,21043,177706929.0
son,20949,5145,noun.name,20864.10,20864,58094311.0
love,56864,7377,verb.noun.name,35886.20850.77,20850,201063526.0
minute,19252,6066,noun.adjective,19067.150,19067,41061449.0
men,19011,4996,noun.verb.name,18999.2.1,18999,174058407.0
idea,18311,6359,noun,18287,18287,65459222.0
family,18067,5340,noun,18035,18035,254164055.0
