Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
weli,1993,146,1,1,39.08,3.2997,1.74,2.1673,noun,1930.0,0.98,noun.name.verb,1930.46.2,1930
seor,1,1,1,1,0.02,0.301,0.01,0.301,noun,265.0,0.56,noun.name,265.208,265
rsum,1,1,1,1,0.02,0.301,0.01,0.301,noun,109.0,1.0,noun,109,109
sirree,65,59,65,59,1.27,1.8195,0.7,1.7782,noun,65.0,1.0,noun,65,65
stickup,61,40,57,38,1.2,1.7924,0.48,1.6128,noun,56.0,0.92,noun.verb,56.5,56
souffl,3,3,3,3,0.06,0.6021,0.04,0.6021,noun,50.0,0.86,noun.verb.name,50.7.1,50
pentothal,47,20,35,12,0.92,1.6812,0.24,1.3222,noun,47.0,1.0,noun,47,47
doornail,36,28,36,28,0.71,1.5682,0.33,1.4624,noun,37.0,1.0,noun,37,37
thetas,37,1,0,0,0.73,1.5798,0.01,0.301,noun,37.0,1.0,noun,37,37
chiseler,38,26,31,23,0.75,1.5911,0.31,1.4314,noun,36.0,1.0,noun,36,36
perdy,60,4,0,0,1.18,1.7853,0.05,0.6990000000000001,noun,35.0,0.66,noun.name.adjective,35.17.1,35
okeydokey,35,23,8,5,0.69,1.5563,0.27,1.3802,noun,34.0,1.0,noun,34,34
lividity,34,30,26,24,0.67,1.5441,0.36,1.4914,noun,31.0,0.94,noun.name,31.2,31
stoolie,31,15,30,14,0.61,1.5051,0.18,1.2041,noun,31.0,1.0,noun,31,31
bellyful,30,30,30,30,0.59,1.4914,0.36,1.4914,noun,30.0,1.0,noun,30,30
memsahib,34,8,16,7,0.67,1.5441,0.1,0.9542,noun,30.0,1.0,noun,30,30
spics,30,22,26,20,0.59,1.4914,0.26,1.3617,noun,30.0,1.0,noun,30,30
whinnies,36,19,29,16,0.71,1.5682,0.23,1.301,noun,30.0,0.83,noun.name,30.6,30
signorina,30,13,15,8,0.59,1.4914,0.15,1.1461,noun,29.0,0.97,noun.name,29.1,29
braciole,26,2,23,2,0.51,1.4314,0.02,0.4771,noun,26.0,1.0,noun,26,26
shuteye,28,24,26,24,0.55,1.4624,0.29,1.3979,noun,26.0,0.93,noun.verb,26.2,26
wetback,24,18,23,18,0.47,1.3979,0.21,1.2788,noun,24.0,1.0,noun,24,24
bullshitter,22,19,20,17,0.43,1.3617,0.23,1.301,noun,22.0,1.0,noun,22,22
grandmama,23,19,18,14,0.45,1.3802,0.23,1.301,noun,22.0,1.0,noun,22,22
lunkhead,22,19,22,19,0.43,1.3617,0.23,1.301,noun,22.0,1.0,noun,22,22
scrounger,22,8,7,6,0.43,1.3617,0.1,0.9542,noun,22.0,1.0,noun,22,22
taels,24,3,24,3,0.47,1.3979,0.04,0.6021,noun,22.0,0.92,noun.verb,22.2,22
unbirthday,22,1,21,1,0.43,1.3617,0.01,0.301,noun,22.0,1.0,noun,22,22
bicarb,27,20,22,17,0.53,1.4472,0.24,1.3222,noun,21.0,0.78,noun.verb,21.6,21
braceros,21,1,20,1,0.41,1.3424,0.01,0.301,noun,21.0,1.0,noun,21,21
thataway,23,19,11,10,0.45,1.3802,0.23,1.301,noun,21.0,0.91,noun.name,21.2,21
thready,34,29,33,29,0.67,1.5441,0.35,1.4771,noun,21.0,0.64,noun.adjective,21.12,21
bedpans,20,17,19,16,0.39,1.3222,0.2,1.2553,noun,20.0,1.0,noun,20,20
coloreds,21,15,20,14,0.41,1.3424,0.18,1.2041,noun,20.0,0.95,noun.name,20.1,20
cutdown,20,12,16,10,0.39,1.3222,0.14,1.1139,noun,20.0,1.0,noun,20,20
tinhorn,27,21,24,20,0.53,1.4472,0.25,1.3424,noun,20.0,0.74,noun.verb,20.7,20
countermission,19,15,19,15,0.37,1.301,0.18,1.2041,noun,19.0,1.0,noun,19,19
homeys,19,15,19,15,0.37,1.301,0.18,1.2041,noun,19.0,1.0,noun,19,19
scooch,26,15,8,8,0.51,1.4314,0.18,1.2041,noun,19.0,0.73,noun.name,19.7,19
choya,46,1,0,0,0.9,1.6721,0.01,0.301,name,28.0,0.61,name.noun,28.18,18
dogcatcher,18,16,18,16,0.35,1.2788,0.19,1.2304,noun,18.0,1.0,noun,18,18
greaseball,21,20,18,17,0.41,1.3424,0.24,1.3222,noun,18.0,0.86,noun.name,18.3,18
snowbell,40,2,0,0,0.78,1.6128,0.02,0.4771,name,22.0,0.55,name.noun,22.18,18
alcmene,36,11,0,0,0.71,1.5682,0.13,1.0792,name,18.0,0.51,name.noun,18.17,17
blighter,17,14,17,14,0.33,1.2553,0.17,1.1761,noun,17.0,1.0,noun,17,17
chitlins,24,13,17,11,0.47,1.3979,0.15,1.1461,noun,17.0,0.71,noun.name,17.7,17
doohickey,17,15,17,15,0.33,1.2553,0.18,1.2041,noun,17.0,1.0,noun,17,17
fleabag,25,22,25,22,0.49,1.415,0.26,1.3617,noun,17.0,0.65,noun.verb,17.9,17
knockwurst,18,11,16,10,0.35,1.2788,0.13,1.0792,noun,17.0,0.94,noun.verb,17.1,17
peckerwood,19,14,14,10,0.37,1.301,0.17,1.1761,noun,17.0,0.89,noun.name,17.2,17
poopsie,20,8,10,6,0.39,1.3222,0.1,0.9542,noun,17.0,0.85,noun.name,17.3,17
rathole,17,13,17,13,0.33,1.2553,0.15,1.1461,noun,17.0,1.0,noun,17,17
wienie,21,13,14,11,0.41,1.3424,0.15,1.1461,noun,17.0,0.81,noun.name,17.4,17
barrelhead,16,9,14,9,0.31,1.2304,0.11,1.0,noun,16.0,1.0,noun,16,16
coatroom,16,10,14,10,0.31,1.2304,0.12,1.0414,noun,16.0,1.0,noun,16,16
dumbwaiter,16,11,16,11,0.31,1.2304,0.13,1.0792,noun,16.0,1.0,noun,16,16
grift,23,13,21,13,0.45,1.3802,0.15,1.1461,noun,16.0,0.7,noun.verb,16.7,16
honkies,21,15,20,14,0.41,1.3424,0.18,1.2041,noun,16.0,0.76,noun.verb.name,16.4.1,16
tranquilliser,16,11,15,11,0.31,1.2304,0.13,1.0792,noun,16.0,1.0,noun,16,16
yourn,17,6,17,6,0.33,1.2553,0.07,0.8451,noun,16.0,0.94,noun.verb,16.1,16
floozies,15,10,14,10,0.29,1.2041,0.12,1.0414,noun,15.0,1.0,noun,15,15
galoot,15,14,15,14,0.29,1.2041,0.17,1.1761,noun,15.0,1.0,noun,15,15
headwaiter,15,12,15,12,0.29,1.2041,0.14,1.1139,noun,15.0,1.0,noun,15,15
heinies,15,13,13,11,0.29,1.2041,0.15,1.1461,noun,15.0,1.0,noun,15,15
laddies,15,11,15,11,0.29,1.2041,0.13,1.0792,noun,15.0,1.0,noun,15,15
limeys,17,14,13,11,0.33,1.2553,0.17,1.1761,noun,15.0,0.88,noun.name,15.2,15
manty,42,1,0,0,0.82,1.6335,0.01,0.301,name,27.0,0.64,name.noun,27.15,15
paisan,20,13,17,13,0.39,1.3222,0.15,1.1461,noun,15.0,0.75,noun.adjective,15.5,15
schnook,17,13,17,13,0.33,1.2553,0.15,1.1461,noun,15.0,0.88,noun.verb,15.2,15
agrestic,21,10,0,0,0.41,1.3424,0.12,1.0414,noun,14.0,0.67,noun.adjective,14.7,14
buttermaker,39,1,0,0,0.76,1.6021,0.01,0.301,name,25.0,0.64,name.noun,25.14,14
roughhouse,14,14,14,14,0.27,1.1761,0.17,1.1761,noun,14.0,1.0,noun,14,14
snookums,14,13,10,10,0.27,1.1761,0.15,1.1461,noun,14.0,1.0,noun,14,14
stakeouts,15,15,14,14,0.29,1.2041,0.18,1.2041,noun,14.0,1.0,noun,14,14
twerps,14,12,13,11,0.27,1.1761,0.14,1.1139,noun,14.0,1.0,noun,14,14
bathmat,13,4,13,4,0.25,1.1461,0.05,0.6990000000000001,noun,13.0,1.0,noun,13,13
bellboys,13,11,11,11,0.25,1.1461,0.13,1.0792,noun,13.0,1.0,noun,13,13
cellmates,13,12,13,12,0.25,1.1461,0.14,1.1139,noun,13.0,1.0,noun,13,13
checkroom,14,4,13,4,0.27,1.1761,0.05,0.6990000000000001,noun,13.0,0.93,noun.name,13.1,13
fluoroscope,13,12,12,11,0.25,1.1461,0.14,1.1139,noun,13.0,1.0,noun,13,13
grandpapa,34,13,5,4,0.67,1.5441,0.15,1.1461,name,14.0,0.52,name.noun,14.13,13
ichthyologist,13,3,7,3,0.25,1.1461,0.04,0.6021,noun,13.0,1.0,noun,13,13
narcs,13,11,11,9,0.25,1.1461,0.13,1.0792,noun,13.0,1.0,noun,13,13
nohow,20,18,20,18,0.39,1.3222,0.21,1.2788,noun,13.0,0.65,noun.verb,13.7,13
noons,13,2,0,0,0.25,1.1461,0.02,0.4771,noun,13.0,1.0,noun,13,13
sawbuck,20,13,14,12,0.39,1.3222,0.15,1.1461,noun,13.0,0.65,noun.verb.name,13.5.2,13
sodbuster,14,3,12,2,0.27,1.1761,0.04,0.6021,noun,13.0,0.93,noun.name,13.1,13
buckwheats,13,1,7,1,0.25,1.1461,0.01,0.301,noun,12.0,0.92,noun.verb,12.1,12
carfare,16,13,15,13,0.31,1.2304,0.15,1.1461,noun,12.0,0.75,noun.verb,12.4,12
exsanguination,12,11,7,7,0.24,1.1139,0.13,1.0792,noun,12.0,1.0,noun,12,12
greenskeeper,12,4,11,3,0.24,1.1139,0.05,0.6990000000000001,noun,12.0,1.0,noun,12,12
hairnet,12,11,12,11,0.24,1.1139,0.13,1.0792,noun,12.0,1.0,noun,12,12
headshrinker,12,10,11,10,0.24,1.1139,0.12,1.0414,noun,12.0,1.0,noun,12,12
kikes,14,10,12,8,0.27,1.1761,0.12,1.0414,noun,12.0,0.86,noun.verb.name,12.1.1,12
leastways,13,12,2,2,0.25,1.1461,0.14,1.1139,noun,12.0,0.92,noun.name,12.1,12
parcheesi,20,15,0,0,0.39,1.3222,0.18,1.2041,noun,12.0,0.6,noun.adjective.name,12.5.3,12
protegee,12,7,11,7,0.24,1.1139,0.08,0.9031,noun,12.0,1.0,noun,12,12
scut,19,11,15,10,0.37,1.301,0.13,1.0792,noun,12.0,0.63,noun.verb.name,12.6.1,12
streamlet,12,1,12,1,0.24,1.1139,0.01,0.301,noun,12.0,1.0,noun,12,12
toddies,12,8,12,8,0.24,1.1139,0.1,0.9542,noun,12.0,1.0,noun,12,12
wickiup,14,2,13,2,0.27,1.1761,0.02,0.4771,noun,12.0,0.86,noun.verb,12.2,12
youngberry,15,1,0,0,0.29,1.2041,0.01,0.301,noun,12.0,0.8,noun.name,12.3,12
bachelorhood,11,9,10,9,0.22,1.0792,0.11,1.0,noun,11.0,1.0,noun,11,11
buttinski,13,2,10,2,0.25,1.1461,0.02,0.4771,noun,11.0,0.85,noun.name,11.2,11
cardiogram,11,7,11,7,0.22,1.0792,0.08,0.9031,noun,11.0,1.0,noun,11,11
cowhands,11,7,11,7,0.22,1.0792,0.08,0.9031,noun,11.0,1.0,noun,11,11
dogface,24,13,16,11,0.47,1.3979,0.15,1.1461,noun,11.0,0.46,noun.verb.name,11.10.3,11
floorshow,11,10,11,10,0.22,1.0792,0.12,1.0414,noun,11.0,1.0,noun,11,11
goddaughters,11,1,10,1,0.22,1.0792,0.01,0.301,noun,11.0,1.0,noun,11,11
goners,11,11,11,11,0.22,1.0792,0.13,1.0792,noun,11.0,1.0,noun,11,11
