Word, .
time, c
man, p
way, .
people, g
thing, .
sir, .
night, s
life, c
day, s
guy, p
things, g
money, o.c.g
thanks, .
name, c
guys, g
years, g
place, c
girl, p
father, p
boy, p
baby, p
house, o.s
dad, p
car, o.s
mother, p
hell, s.c
shit, .
world, s.c.o
room, s
morning, s
woman, p
back, b
mom, p
lot, .
friend, p.c
kind, .
job, c
son, p
love, c
minute, .
men, g
idea, c
family, g
wife, p
work, c.s
head, b
school, s
problem, c
kid, p
business, c
days, g
friends, g
miss, .
kids, g
honey, o.p
stuff, g
door, o.s
right, s.c
brother, p
year, s.c
minutes, g
doctor, p
phone, o
hand, b
cause, .
part, .
town, s
mind, b.c.s
heart, b
care, c
number, c
week, .
chance, c
hands, b.g
police, c
word, c
face, b
case, o
party, s.c
game, o.c.s
ass, .
boys, g
water, o.s.g
eyes, b.g
story, c.s
couple, g
home, s.c
trouble, c
death, c.p
lady, p
times, .
hours, .
person, p
point, .
gun, o
girls, g
captain, p
mr, .
matter, c
office, s
dinner, c.o.s
side, s.b
line, o
women, g
body, b.o.c
husband, p
truth, c
look, .
dog, a
moment, s.c
bed, s.o
reason, c
blood, o.g.b
question, c
daddy, p
help, c
sister, p
show, s.c
end, c.s
rest, c
deal, c
children, g
war, c.s
book, o.s
daughter, p
city, s
second, .
news, c
months, .
hour, .
call, c
country, s.c
fire, o
fuck, .
child, p
bitch, .
food, o.c
gentlemen, g
hair, b.g
luck, c
sex, c
music, c
street, s
power, c
company, c
fact, c
while, .
coffee, o
team, g
parents, g
air, o.g.s
ladies, g
weeks, g
picture, o.s
drink, o
date, .
hospital, s
piece, .
uncle, p
movie, o.c.s
king, p
darling, p
sense, c
christmas, s.c
shot, .
words, g
fun, c
feet, b.g
million, .
evening, s
bit, .
boss, p
questions, g
class, s.g
law, c
president, p
road, s
eye, b
plan, c
light, o.c.s
table, o
dream, c.s
ball, o
mouth, b
fault, c
lieutenant, p
mama, p
paper, o.s
lunch, o.c
hotel, s
officer, p
ones, .
agent, p
wedding, s.c
tv, o.s.c
clothes, g.o
lord, p
floor, s.c
court, s
mistake, c
others, g
earth, s.o
dude, p
attention, c
murder, c
club, s.g.c
choice, c
birthday, c.s
pain, c
boat, o.s
plane, o.s
colonel, p
month, .
order, c
security, c
state, s.c
song, c.s
ship, o.s
talk, c
horse, a
control, c
message, c
system, c
afternoon, s
bag, o
meeting, s.c
lives, g
information, c.o
thought, c
box, o
window, o.s.c
army, g.c
future, c
buddy, p
honor, c
college, s
card, o
building, s.o
evidence, o.c
cops, g
history, c
voice, b.c
apartment, s
letter, o
situation, .
bar, s
bank, s
master, p.c
accident, c
trip, c
doc, .
answer, c
fight, c
sleep, c
pleasure, c
difference, c
lawyer, p
god, p.c
ice, o.s
hundred, .
store, s
dollars, g
record, .
station, s
summer, s
train, o.s
seat, o.c.s
service, c
list, c.o
problems, g
marriage, c
age, c
cop, p
star, o
ride, c
brain, b
soul, c.b
fish, a
girlfriend, p
folks, g
radio, o.c.s
beer, o
angel, p.c
area, s
scene, c
shoes, g
general, p
gold, o
break, c
bus, o.s
partner, p
ln, .
truck, o.s
boyfriend, p
top, c.s
crime, c
miles, g
feeling, c
sort, .
middle, s.c
ring, o
report, c
congratulations, c
position, c.s
seconds, g
mommy, p
ground, s
professor, p
nose, b
peace, c
sun, o.s
thousand, .
key, o
church, s.c
rock, o
art, o.c.s
change, c
group, g
joke, c
surprise, c
relationship, c
books, g
pictures, g
bullshit, .
play, c.s
gas, o
sound, c
wall, o.s
idiot, p
prison, s.c
land, s
bastard, p
need, c
field, s
cat, a
dress, o
rules, g
government, c.g
machine, o.c
dance, c
go, .
cash, o.g
foot, b
gift, c
dreams, g
sign, c.o
tree, a
test, c.o
sake, c
arm, b
sweetheart, p
film, o.s.c
space, s.c
department, c
hat, o
favor, c
tape, o
sergeant, p
killer, p
breakfast, o.s
outta, .
bathroom, s
asshole, .
weekend, .
action, c
detective, p
guns, g
sheriff, p
wine, o
crap, .
sea, s
check, o
flight, c
arms, g.b
orders, g
computer, o
neck, b
mrs, .
tea, o
pants, o
glass, o
type, c
bunch, g
chief, p
will, c
kitchen, s
hole, o.c.s
north, s.c
feelings, b.c.g
pal, p
turn, c.s
chicken, a
camera, o
heaven, s.c
leg, b
beach, s
park, s
bucks, g
legs, g.b
lights, g
mess, c
river, s
teacher, p
south, c.s
course, c
aunt, p
decision, c
secret, c
suit, o
fool, p
cell, s.o
emergency, c
force, c
mine, s
act, c
queen, p
names, g
sweetie, p
charge, c
move, c
client, p
band, g
dogs, g
race, c.s
west, s.c
spot, s.c
attack, c
living, c
plans, g
corner, s.o.c
pressure, c
papers, g
ways, g
cup, o
experience, c.s
places, g
duty, c
hall, s.c
keys, g
motherfucker, .
jail, s
watch, c
conversation, c
code, c.o
hero, c.p
bottle, o
trial, c
spirit, c.b
front, c.s
shop, s
moon, s.o
cousin, p
enemy, p.c
present, c.s
memory, b.c.s
dr, .
drugs, g
beauty, c
patient, p
chair, o
cards, g
advice, c
price, c
cream, o
teeth, b.g
victim, p.c
bomb, o
note, o
brothers, g
use, .
driver, p
mission, c
pool, s.g
weapon, o.c
flowers, g
knife, o
board, o
camp, s
restaurant, s
shirt, o
east, s.c
faith, c
respect, c
movies, g
stars, g
interest, c
wind, c.s
hope, c
cars, g
practice, c
size, c
mister, p
ticket, o
animal, a
center, s.c
address, c
grandma, p
walk, c
cake, o
games, g
stage, s.o
step, o.s
career, c
sky, c.s
bill, c.o
prince, p
fellow, p
sight, c
drug, c.o
witness, p
kiss, c
nuts, g
bridge, o.s
desk, o
level, c.s
breath, c.b
credit, c
operation, c
meat, b.o.c
danger, c
nature, c.s
madam, p
stories, g
