Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Verb_freq,Web_freq
do,312915,8348,verb.noun,629203.22,629203,950751722.0
is,459663,8370,verb.adverb.noun.name,488770.730.14.1,488770,4705743816.0
have,314232,8363,verb.noun,332099.104,332099,1564202750.0
was,288391,8345,verb.noun,309709.4,309709,1483428678.0
be,293085,8363,verb.noun,292904.68,292904,2398724162.0
know,291780,8340,verb.noun,291207.50,291207,306100813.0
are,265672,8362,verb.noun,277220.9,277220,2393614870.0
get,233772,8336,verb.noun,233452.18,233452,605984508.0
did,119410,8306,verb.noun,199195.18,199195,275369513.0
got,168631,8249,verb.noun,194337.44,194337,145057782.0
go,193445,8343,verb.noun,189923.3299,189923,421086358.0
can,267620,8353,verb.noun.name,179746.1035.1,179746,1242323499.0
come,160190,8335,verb.noun,159923.6,159923,154326119.0
want,140718,8305,verb.noun,140488.135,140488,258690345.0
think,137261,8301,verb.noun,136706.489,136706,217856550.0
see,130393,8326,verb.noun.name,130089.144.8,130089,681410380.0
let,123381,8307,verb.noun.preposition.name,121604.228.179.3,121604,143062438.0
would,90162,8268,verb.noun,112976.5,112976,572644147.0
going,108288,8238,verb.noun.adjective,107939.189.90,107939,155284081.0
will,108306,8129,verb.noun.name,103247.2976.1985,103247,1356293641.0
gon,65,23,verb.noun.name,101748.96.4,101748,840908.0
could,83109,8233,verb.noun,99800.2,99800,302311431.0
take,96443,8299,verb.noun.name,96012.343.3,96012,264349801.0
were,84804,8237,verb.adverb.noun,91818.78.2,91818,570699558.0
ca,109,81,verb.name,91217.33,91217,130326009.0
look,99311,8290,verb.noun.name,89292.9750.5,89292,173043002.0
been,88573,8261,verb.noun,88499.23,88499,575019382.0
had,85472,8224,verb.noun.name,88465.37.1,88465,480232730.0
tell,87949,8121,verb.name.noun,87756.62.4,87756,109553730.0
say,83629,8231,verb.noun.adverb.name,83066.418.40.2,83066,156845267.0
make,70775,8215,verb.noun.name,70408.299.1,70408,405084642.0
like,203947,8341,preposition.verb.conjunction.adverb.adjective.noun.name,111581.69662.11417.6065.4991.67.7,69662,520585287.0
does,34002,7665,verb.noun,66194.9,66194,314018806.0
need,66040,8076,verb.noun.preposition,62816.3338.189,62816,319376932.0
has,57830,8074,verb.noun.name,62388.14.1,62388,1046319984.0
should,54159,8129,verb.noun,61902.1,61902,402028056.0
mean,63443,8032,verb.adjective.noun,61291.1956.151,61291,80312172.0
give,59559,8088,verb.noun,59457.2,59457,140688602.0
thank,56877,7790,verb,56748,56748,63234550.0
said,56531,8026,verb.adjective.name.noun,56297.155.43.8,56297,315595259.0
doing,52492,7954,verb.noun,52471.12,52471,80821946.0
am,56438,7983,verb.adverb.noun,49133.1182.3,49133,576436203.0
put,42251,7840,verb.noun.name,42186.17.1,42186,115205090.0
find,42379,7687,verb.noun.name,42184.173.1,42184,502043038.0
wait,42343,7709,verb.noun.name,41615.528.1,41615,39001376.0
talk,43605,7619,verb.noun,38850.4714,38850,97850837.0
help,46977,7745,verb.noun.name,37660.9218.8,37660,611054034.0
thought,41232,7829,verb.noun,36768.4441,36768,81561217.0
must,35661,7154,verb.noun,36486.34,36486,292774716.0
love,56864,7377,verb.noun.name,35886.20850.77,35886,201063526.0
keep,35846,7569,verb.noun,35667.123,35667,119602514.0
told,35679,7529,verb.adjective.noun,35628.29.3,35628,57248600.0
call,43931,7556,verb.noun.name,35593.8262.5,35593,199608869.0
stop,36071,7421,verb.noun.name,33919.1978.5,33919,77749471.0
wo,58,34,verb.name.unclassified,33904.30.27,33904,3336121.0
believe,31882,7412,verb,31859,31859,75918053.0
feel,31989,7265,verb.noun,30440.1536,30440,91924001.0
made,28626,7442,verb.noun,28605.8,28605,287353021.0
hear,28323,7249,verb.interjection,27985.312,27985,47426506.0
remember,27666,7110,verb.noun,27641.3,27641,82222044.0
listen,27784,6965,verb.noun,27634.60,27634,43252527.0
leave,28596,7185,verb.noun.name,27608.954.2,27608,70957750.0
might,26334,7121,verb.noun,26206.116,26206,123196001.0
coming,26878,7173,verb.noun.adjective.name,26096.572.198.1,26096,69889118.0
wan,94,59,verb.adjective.noun,25799.70.2,25799,5285316.0
stay,26298,6834,verb.noun.name,25571.704.3,25571,80694073.0
wanted,25616,7039,verb.adjective.noun,25417.172.15,25417,63301836.0
happened,24994,6952,verb.noun,24968.5,24968,24951096.0
done,24737,7025,verb.noun,24729.3,24729,102812628.0
getting,24719,7120,verb.noun,24689.2,24689,93483319.0
ask,24640,7014,verb.noun,24605.2,24605,106400213.0
may,26080,6667,verb.name.noun,24597.1472.1,24597,827822032.0
understand,24605,6811,verb,24568,24568,61719969.0
talking,25385,6952,verb.noun.adjective,24410.888.70,24410,36617848.0
came,23650,6889,verb.noun,23616.8,23616,73286694.0
try,24314,7053,verb.noun.name,23137.1144.3,23137,114384208.0
work,40699,7670,verb.noun,23059.17612,23059,419483948.0
being,24781,7083,verb.noun.adverb,22881.1711.184,22881,242783091.0
kill,23081,5700,verb.noun.name,22801.273.2,22801,24850951.0
trying,22849,6841,verb.adjective.noun,22713.92.12,22713,57462639.0
guess,23153,6694,verb.noun.name,22060.1071.1,22060,28743465.0
looking,22066,6841,verb.adjective.noun,21896.145.6,21896,150610176.0
went,20987,6677,verb.noun,20954.7,20954,68130142.0
hold,22273,6456,verb.noun,20649.1549,20649,63777575.0
found,20196,6384,verb.noun,20207.8,20207,232005894.0
saw,20527,6419,verb.noun,20155.353,20155,48544776.0
heard,19775,6530,verb.noun,19766.4,19766,45436523.0
seen,19633,6541,verb.noun,19618.6,19618,78365291.0
left,24707,7001,verb.adjective.adverb.noun.name,18826.5400.229.223.2,18826,171752631.0
knew,18817,6296,verb.noun,18799.13,18799,31598395.0
move,21325,6041,verb.noun.name,18581.2716.2,18581,70113140.0
meet,17966,5986,verb.noun.name,17827.117.2,17827,93275872.0
excuse,18773,6042,verb.noun.name,17619.1048.3,17619,6390272.0
took,17454,6404,verb.noun,17414.15,17414,66297175.0
called,17341,6101,verb.adjective.noun,17216.113.2,17216,106978150.0
bring,16685,6140,verb.noun,16677.2,16677,57608074.0
says,16356,5926,verb.noun,16346.1,16346,103697915.0
run,17878,6063,verb.noun,15838.2021,15838,117213565.0
sit,15879,5582,verb.noun,15721.129,15721,19797379.0
show,24906,6630,verb.noun.name,15690.9164.8,15690,247541986.0
live,17574,6052,verb.adjective.adverb.noun,15629.1501.428.6,15629,166005029.0
wants,15655,6036,verb.noun,15600.46,15600,32538214.0
start,17345,6330,verb.noun.name,15336.1993.2,15336,161913408.0
used,17551,6326,verb.adjective.noun,15252.2296.3,15252,421438139.0
use,17536,6453,verb.noun.name,15123.2408.1,15123,719980257.0
looks,15886,6058,verb.noun.name,15110.742.1,15110,43897035.0
gone,15135,5920,verb.noun,15110.3,15110,34511028.0
having,14752,5879,verb.noun,14729.2,14729,109360096.0
play,18081,5343,verb.noun.name,14646.3417.1,14646,150748333.0
saying,14874,5819,verb.noun.name,14453.407.1,14453,36981573.0
worry,14638,5727,verb.noun,14331.290,14331,13243591.0
watch,16831,5882,verb.noun.name,14260.2544.3,14260,92006970.0
forget,14130,5661,verb.noun,14069.1,14069,25162411.0
killed,14792,4422,verb.adjective,13816.974,13816,23240536.0
hope,16352,6123,verb.noun.name,13815.2331.189,13815,74145758.0
shut,13455,4828,verb.adjective,13202.158,13202,11689186.0
die,13318,4657,verb.noun.unclassified,13094.191.19,13094,46745446.0
happen,12968,5673,verb.noun,12969.2,12969,27207887.0
eat,12846,4834,verb.noun,12833.2,12833,29237400.0
turn,15630,5931,verb.noun,12694.2928,12694,80328029.0
hit,14025,5092,verb.noun.adjective,12636.1310.9,12636,53171478.0
thinking,14353,5707,verb.noun.adjective,12513.1835.1,12513,41333371.0
knows,12492,5479,verb.noun,12477.8,12477,24640096.0
care,24748,6945,verb.noun,12467.12278,12467,225326739.0
gave,12428,5529,verb.noun,12405.6,12405,36576222.0
working,12775,5370,verb.adjective.noun,12255.495.23,12255,147675944.0
makes,12296,5642,verb.noun,12252.32,12252,87829598.0
read,12302,4733,verb.noun.name,12234.47.5,12234,322331766.0
mind,24715,6870,noun.verb.name,12457.12222.1,12222,75393868.0
taking,12263,5641,verb.noun.adjective,12158.66.29,12158,69997427.0
lost,13974,5685,verb.adjective.noun,12137.1827.1,12137,74748656.0
pay,12985,4936,verb.noun.name,11845.1121.1,11845,129198530.0
comes,11656,5304,verb.noun,11644.8,11644,64256803.0
gets,11364,5311,verb.noun,11349.3,11349,48807490.0
check,14228,5293,verb.noun,11176.3050,11176,244491090.0
making,11349,5422,verb.noun,11149.187,11149,124198695.0
fuck,19307,1734,verb.noun.name,11091.8168.11,11091,39099536.0
goes,11081,5163,verb.noun,11024.43,11024,47278206.0
asked,11029,5102,verb.noun,11022.3,11022,75532722.0
open,16341,5847,verb.adjective.adverb.noun,11011.4898.395.3,11011,239670331.0
hurt,12564,5123,verb.adjective.noun,10702.1829.26,10702,12936269.0
cut,11718,4940,verb.noun.adjective,10537.1134.25,10537,61337417.0
hate,10944,4752,verb.noun,10348.587,10348,21274675.0
wish,11991,4968,verb.noun,10307.1674,10307,74043644.0
waiting,10767,4980,verb.noun.adjective,10248.436.77,10248,30170505.0
stand,11536,4917,verb.noun.name,10204.1297.2,10204,46292709.0
buy,9814,4286,verb.noun,9722.75,9722,410780176.0
met,9758,4456,verb.noun,9670.62,9670,42223443.0
means,11136,5250,verb.noun.adverb.preposition,9643.1429.47.19,9643,105946662.0
pick,10118,4726,verb.noun.name,9624.364.121,9624,38542153.0
set,11805,5185,verb.noun.adjective.name,9574.2197.32.1,9574,313469591.0
started,9566,4727,verb.noun,9553.1,9553,77515342.0
speak,9546,4289,verb.noun,9534.1,9534,31324712.0
telling,9730,4837,verb.noun.adjective,9506.178.40,9506,14160780.0
tried,9529,4867,verb.adjective.noun,9476.51.2,9476,34201786.0
shall,9441,3061,verb,9432,9432,191963867.0
send,9169,4250,verb.noun,9164.1,9164,274103587.0
brought,8786,4666,verb.noun,8772.5,8772,39794764.0
change,12258,5259,verb.noun,8749.3484,8749,210601244.0
walk,11009,4848,verb.noun.name,8691.2295.2,8691,39129365.0
seems,8545,4557,verb,8534,8534,55276661.0
