Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
giddap,61,29,8,7,1.2,1.7924,0.35,1.4771,verb,58.0,1.0,verb,58,58
attagirl,53,50,2,2,1.04,1.7324,0.6,1.7076,verb,52.0,1.0,verb,52,52
whatd,2,2,0,0,0.04,0.4771,0.02,0.4771,verb,41.0,1.0,verb,41,41
snitched,37,27,37,27,0.73,1.5798,0.32,1.4472,verb,37.0,1.0,verb,37,37
neighs,33,16,29,14,0.65,1.5315,0.19,1.2304,verb,31.0,0.94,verb.name,31.2,31
maggle,35,5,0,0,0.69,1.5563,0.06,0.7782,verb,28.0,0.82,verb.name.noun,28.5.1,28
spig,76,2,0,0,1.49,1.8865,0.02,0.4771,name,43.0,0.57,name.verb.noun,43.28.5,28
hightail,25,25,25,25,0.49,1.415,0.3,1.415,verb,25.0,1.0,verb,25,25
meril,65,8,0,0,1.27,1.8195,0.1,0.9542,name,37.0,0.57,name.verb.noun,37.25.3,25
orbed,23,13,22,13,0.45,1.3802,0.15,1.1461,verb,23.0,1.0,verb,23,23
doggoned,20,16,20,16,0.39,1.3222,0.19,1.2304,verb,19.0,0.95,verb.adjective,19.1,19
deputize,18,12,18,12,0.35,1.2788,0.14,1.1139,verb,18.0,1.0,verb,18,18
hocked,18,17,17,16,0.35,1.2788,0.2,1.2553,verb,18.0,1.0,verb,18,18
pigheaded,34,33,34,33,0.67,1.5441,0.39,1.5315,verb,18.0,0.53,verb.adjective,18.16,18
roust,21,21,20,20,0.41,1.3424,0.25,1.3424,verb,18.0,0.86,verb.noun,18.3,18
wigging,19,14,19,14,0.37,1.301,0.17,1.1761,verb,18.0,0.95,verb.noun,18.1,18
joshing,18,17,18,17,0.35,1.2788,0.2,1.2553,verb,17.0,0.94,verb.noun,17.1,17
whinnying,41,12,18,9,0.8,1.6232,0.14,1.1139,name,22.0,0.54,name.verb.noun,22.17.2,17
chickening,16,15,15,14,0.31,1.2304,0.18,1.2041,verb,16.0,1.0,verb,16,16
hemostat,25,15,10,7,0.49,1.415,0.18,1.2041,verb,16.0,0.64,verb.noun,16.9,16
mustnt,2,1,2,1,0.04,0.4771,0.01,0.301,verb,16.0,0.89,verb.noun,16.2,16
okeydoke,17,14,1,1,0.33,1.2553,0.17,1.1761,verb,16.0,0.94,verb.noun,16.1,16
orbing,28,17,27,16,0.55,1.4624,0.2,1.2553,verb,16.0,0.57,verb.noun.adjective,16.7.5,16
clatters,17,15,14,12,0.33,1.2553,0.18,1.2041,verb,15.0,0.88,verb.noun,15.2,15
bellyaching,22,22,22,22,0.43,1.3617,0.26,1.3617,verb,14.0,0.64,verb.noun,14.8,14
outthink,14,14,14,14,0.27,1.1761,0.17,1.1761,verb,14.0,1.0,verb,14,14
psyching,14,12,13,11,0.27,1.1761,0.14,1.1139,verb,14.0,1.0,verb,14,14
ticktock,19,11,9,4,0.37,1.301,0.13,1.0792,verb,14.0,0.74,verb.noun,14.5,14
unstrap,14,10,12,10,0.27,1.1761,0.12,1.0414,verb,14.0,1.0,verb,14,14
bullheaded,20,17,19,17,0.39,1.3222,0.2,1.2553,verb,13.0,0.65,verb.adjective.name,13.6.1,13
canoodling,17,7,14,7,0.33,1.2553,0.08,0.9031,verb,13.0,0.76,verb.noun.adjective,13.3.1,13
carjack,26,11,8,7,0.51,1.4314,0.13,1.0792,verb,13.0,0.5,verb.name.noun,13.9.4,13
consarn,15,2,6,2,0.29,1.2041,0.02,0.4771,verb,13.0,0.87,verb.noun,13.2,13
extubate,14,9,14,9,0.27,1.1761,0.11,1.0,verb,13.0,1.0,verb,13,13
whirs,18,16,17,15,0.35,1.2788,0.19,1.2304,verb,13.0,0.72,verb.noun,13.5,13
preed,17,1,0,0,0.33,1.2553,0.01,0.301,verb,12.0,0.75,verb.name,12.4,12
pussyfooting,12,12,11,11,0.24,1.1139,0.14,1.1139,verb,12.0,1.0,verb,12,12
towkay,17,1,3,1,0.33,1.2553,0.01,0.301,verb,12.0,0.71,verb.name.noun,12.3.2,12
whupping,16,16,16,16,0.31,1.2304,0.19,1.2304,verb,12.0,0.75,verb.noun,12.4,12
clanks,12,9,7,6,0.24,1.1139,0.11,1.0,verb,11.0,0.92,verb.noun,11.1,11
hightailed,11,11,10,10,0.22,1.0792,0.13,1.0792,verb,11.0,1.0,verb,11,11
honeybun,13,8,11,8,0.25,1.1461,0.1,0.9542,verb,11.0,0.85,verb.noun,11.2,11
prosit,12,7,0,0,0.24,1.1139,0.08,0.9031,verb,11.0,0.92,verb.name,11.1,11
rousting,11,11,10,10,0.22,1.0792,0.13,1.0792,verb,11.0,1.0,verb,11,11
sassing,12,9,12,9,0.24,1.1139,0.11,1.0,verb,11.0,0.92,verb.noun,11.1,11
bugling,11,3,10,3,0.22,1.0792,0.04,0.6021,verb,10.0,0.91,verb.noun,10.1,10
depressurizing,10,6,9,5,0.2,1.0414,0.07,0.8451,verb,10.0,1.0,verb,10,10
dogface,24,13,16,11,0.47,1.3979,0.15,1.1461,noun,11.0,0.46,noun.verb.name,11.10.3,10
ecch,10,6,1,1,0.2,1.0414,0.07,0.8451,verb,10.0,1.0,verb,10,10
jimmied,11,8,10,7,0.22,1.0792,0.1,0.9542,verb,10.0,0.91,verb.name,10.1,10
liverwurst,21,13,15,10,0.41,1.3424,0.15,1.1461,verb,10.0,0.48,verb.noun.name,10.10.1,10
miscounted,10,10,10,10,0.2,1.0414,0.12,1.0414,verb,10.0,1.0,verb,10,10
overthink,10,8,10,8,0.2,1.0414,0.1,0.9542,verb,10.0,1.0,verb,10,10
rousted,10,9,8,7,0.2,1.0414,0.11,1.0,verb,10.0,1.0,verb,10,10
splutters,14,14,11,11,0.27,1.1761,0.17,1.1761,verb,10.0,0.71,verb.noun,10.4,10
crocked,11,8,11,8,0.22,1.0792,0.1,0.9542,verb,9.0,0.82,verb.adjective,9.2,9
electrocuting,9,8,9,8,0.18,1.0,0.1,0.9542,verb,9.0,1.0,verb,9,9
fleabag,25,22,25,22,0.49,1.415,0.26,1.3617,noun,17.0,0.65,noun.verb,17.9,9
flittering,9,1,8,1,0.18,1.0,0.01,0.301,verb,9.0,1.0,verb,9,9
idolised,10,8,10,8,0.2,1.0414,0.1,0.9542,verb,9.0,0.9,verb.adjective,9.1,9
olease,9,2,0,0,0.18,1.0,0.02,0.4771,verb,9.0,1.0,verb,9,9
retches,9,9,9,9,0.18,1.0,0.11,1.0,verb,9.0,1.0,verb,9,9
rooked,10,8,10,8,0.2,1.0414,0.1,0.9542,verb,9.0,0.9,verb.adjective,9.1,9
sicced,9,9,9,9,0.18,1.0,0.11,1.0,verb,9.0,1.0,verb,9,9
tind,9,4,9,4,0.18,1.0,0.05,0.6990000000000001,verb,9.0,1.0,verb,9,9
unclench,9,8,4,4,0.18,1.0,0.1,0.9542,verb,9.0,1.0,verb,9,9
asphyxiate,8,8,7,7,0.16,0.9542,0.1,0.9542,verb,8.0,1.0,verb,8,8
burgle,8,6,8,6,0.16,0.9542,0.07,0.8451,verb,8.0,1.0,verb,8,8
chawk,13,1,0,0,0.25,1.1461,0.01,0.301,verb,8.0,0.62,verb.name.noun,8.4.1,8
defibrillate,8,8,5,5,0.16,0.9542,0.1,0.9542,verb,8.0,1.0,verb,8,8
finked,9,6,8,6,0.18,1.0,0.07,0.8451,verb,8.0,0.89,verb.name,8.1,8
fraternising,11,4,10,3,0.22,1.0792,0.05,0.6990000000000001,verb,8.0,0.73,verb.noun,8.3,8
heisted,8,6,8,6,0.16,0.9542,0.07,0.8451,verb,8.0,1.0,verb,8,8
honeybunch,10,9,9,8,0.2,1.0414,0.11,1.0,verb,8.0,0.89,verb.noun,8.1,8
hurted,12,8,12,8,0.24,1.1139,0.1,0.9542,verb,8.0,0.67,verb.adjective,8.4,8
jibed,9,3,9,3,0.18,1.0,0.04,0.6021,verb,8.0,0.89,verb.adjective,8.1,8
lollygagging,9,8,9,8,0.18,1.0,0.1,0.9542,verb,8.0,0.89,verb.noun,8.1,8
moseying,8,8,8,8,0.16,0.9542,0.1,0.9542,verb,8.0,1.0,verb,8,8
resect,9,9,9,9,0.18,1.0,0.11,1.0,verb,8.0,0.89,verb.noun,8.1,8
shrivels,8,8,8,8,0.16,0.9542,0.1,0.9542,verb,8.0,1.0,verb,8,8
welshed,8,7,8,7,0.16,0.9542,0.08,0.9031,verb,8.0,1.0,verb,8,8
whatshisname,19,16,13,11,0.37,1.301,0.19,1.2304,verb,8.0,0.42,verb.noun.name,8.8.3,8
burgling,8,5,8,5,0.16,0.9542,0.06,0.7782,verb,7.0,0.88,verb.noun,7.1,7
bushwhack,10,8,9,8,0.2,1.0414,0.1,0.9542,verb,7.0,0.7,verb.noun,7.3,7
chaffs,7,4,7,4,0.14,0.9031,0.05,0.6990000000000001,verb,7.0,1.0,verb,7,7
dickering,8,8,7,7,0.16,0.9542,0.1,0.9542,verb,7.0,0.88,verb.name,7.1,7
flossed,8,8,7,7,0.16,0.9542,0.1,0.9542,verb,7.0,0.88,verb.name,7.1,7
foder,13,2,13,2,0.25,1.1461,0.02,0.4771,verb,7.0,0.78,verb.noun,7.2,7
funning,8,8,8,8,0.16,0.9542,0.1,0.9542,verb,7.0,0.88,verb.noun,7.1,7
gesticulate,7,5,5,5,0.14,0.9031,0.06,0.7782,verb,7.0,1.0,verb,7,7
grift,23,13,21,13,0.45,1.3802,0.15,1.1461,noun,16.0,0.7,noun.verb,16.7,7
hightailing,7,7,7,7,0.14,0.9031,0.08,0.9031,verb,7.0,1.0,verb,7,7
nohow,20,18,20,18,0.39,1.3222,0.21,1.2788,noun,13.0,0.65,noun.verb,13.7,7
outshoot,9,8,9,8,0.18,1.0,0.1,0.9542,verb,7.0,1.0,verb,7,7
overreacts,8,8,8,8,0.16,0.9542,0.1,0.9542,verb,7.0,0.88,verb.noun,7.1,7
prettied,7,7,7,7,0.14,0.9031,0.08,0.9031,verb,7.0,1.0,verb,7,7
