Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Adjective_freq,Web_freq
good,133117,8316,adjective.adverb.name.noun,131274.1424.147.61,131274,365796396.0
sorry,59566,7923,adjective.noun,59455.2,59455,35595812.0
little,73766,8072,adjective.adverb.determiner.name.noun,46077.23682.3524.394.1,46077,187142519.0
right,204428,8320,adverb.adjective.noun.verb.name,148137.41292.14475.200.76,41292,273620358.0
great,41864,7462,adjective.adverb.name.noun,41101.645.65.2,41101,301487430.0
sure,56091,8007,adjective.adverb,38705.17330,38705,110528740.0
big,34824,7234,adjective.adverb.noun,34684.121.3,34684,216690546.0
nice,33125,7094,adjective.adverb.name.noun,31709.1306.73.1,31709,69395609.0
old,31056,6909,adjective.name,30968.36,30968,199694226.0
fine,30502,7135,adjective.adverb.verb.noun.name,30273.120.64.2.2,30273,71972425.0
new,36913,7238,adjective.name.adverb.noun,28327.8527.5.3,28327,1551258643.0
other,37505,7738,adjective.pronoun.preposition.noun.name,27916.8231.840.473.1,27916,978481319.0
bad,27804,7214,adjective.adverb.noun,27563.201.4,27563,95096787.0
wrong,26678,7245,adjective.adverb.verb.noun.name,24452.1926.152.111.3,24452,49156828.0
real,22583,6453,adjective.adverb.noun,22283.292.13,22283,297674493.0
only,55269,8118,adverb.adjective.noun.conjunction,33314.21882.1.1,21882,661844114.0
dead,22898,5926,adjective.adverb.name.noun,21730.1111.31.1,21730,48384167.0
okay,102320,6322,adverb.adjective.name.verb,82686.19363.22.19,19363,15368116.0
whole,19660,6432,adjective.noun,18595.1057,18595,85202530.0
ready,19778,6398,adjective.verb.adverb,17250.2056.453,17250,62667516.0
best,20623,6673,adjective.adverb.verb.name,17069.3327.212.1,17069,371852748.0
happy,16993,5531,adjective.noun,16959.1,16959,63471922.0
beautiful,14266,4973,adjective.noun,14225.2,14225,58503804.0
long,34433,7581,adverb.adjective.conjunction.verb.noun,16433.13891.3786.305.2,13891,252519588.0
crazy,13886,5039,adjective.noun,13856.2,13856,23032837.0
better,40494,7814,adverb.adjective.verb.noun,26185.13583.500.151,13583,157079378.0
true,12921,5312,adjective.adverb.verb.noun,12772.100.40.3,12772,96269550.0
supposed,12865,5464,adjective.verb.noun,12736.121.4,12736,14497557.0
afraid,12631,4944,adjective.noun,12617.1,12617,10858793.0
young,12402,4685,adjective.name.noun,11888.454.3,11888,136341684.0
easy,13551,5385,adjective.adverb,11440.2090,11440,125548527.0
funny,11127,4659,adjective,11107,11107,34281806.0
fucking,16603,1556,adjective.adverb.verb.noun.name,10918.5404.266.14.2,10918,47911964.0
different,10686,4860,adjective.noun,10673.2,10673,179794224.0
important,10587,4878,adjective,10586,10586,136103455.0
late,13756,5576,adjective.adverb,9967.3778,9967,65574606.0
hot,9682,4209,adjective.adverb.noun,9598.70.1,9598,159287179.0
alone,15735,5920,adjective.adverb.preposition,9585.5945.179,9585,39326417.0
stupid,9405,4276,adjective.noun.name,9395.1.1,9395,14118370.0
high,9945,4450,adjective.adverb.noun.name,9277.643.7.5,9277,345413157.0
hard,15700,6095,adjective.adverb,9243.6441,9243,130054708.0
just,242206,8338,adverb.adjective.noun.name,232666.9038.14.2,9038,462836169.0
glad,8740,4312,adjective,8735,8735,14585030.0
cool,9990,3670,adjective.verb.adverb.noun.name,8355.1159.347.92.26,8355,56471180.0
wonderful,8364,3362,adjective,8330,8330,28796607.0
full,8512,4326,adjective.adverb,8271.237,8271,309929179.0
sick,8437,3867,adjective.noun,8225.213,8225,15965297.0
able,8155,4285,adjective,8148,8148,109389038.0
free,9054,4278,adjective.verb.noun,8013.1007.1,8013,1014107316.0
black,8565,3190,adjective.name.noun.verb,8010.259.228.57,8010,244690155.0
alive,7878,3735,adjective.noun,7874.2,7874,16064787.0
perfect,8091,3915,adjective.verb,7858.222,7858,60179071.0
special,7577,3885,adjective.noun,7558.8,7558,244311841.0
serious,7566,4006,adjective.noun,7552.1,7552,38316678.0
lucky,7316,3874,adjective.noun,7281.1,7281,14053901.0
white,8744,3355,adjective.name.noun,7185.1404.128,7185,209863729.0
sweet,7405,3578,adjective.name.noun,7151.129.105,7151,32311923.0
safe,7303,3522,adjective.noun.adverb.name,6953.282.58.1,6953,63168116.0
married,12163,3952,adjective.verb,6583.5562,6583,30202662.0
poor,6583,3224,adjective.noun,6569.1,6569,48053008.0
small,6373,3533,adjective.name.adverb.noun,6199.152.8.3,6199,208371878.0
red,7551,3042,adjective.noun.name,5969.1413.136,5969,140799532.0
pretty,20003,6344,adverb.adjective.noun,14061.5919.1,5919,51621090.0
possible,5816,3373,adjective.noun,5820.4,5820,123311561.0
fun,12010,4632,noun.adjective.name,6172.5815.3,5815,108389630.0
mad,5784,2965,adjective,5769,5769,16468434.0
quiet,5978,3135,adjective.verb.noun.name,5669.184.88.3,5669,16746894.0
tired,5745,3148,adjective.verb.noun,5658.87.1,5658,11158233.0
clear,8763,4184,adjective.verb.adverb,5598.2727.427,5598,88447610.0
careful,5550,3256,adjective,5540,5540,11836566.0
scared,6803,3316,adjective.verb,5511.1290,5511,5071401.0
human,6363,2931,adjective.noun,5490.867,5490,160573748.0
ok,25928,1771,adverb.adjective.verb,20270.5456.4,5456,69066566.0
left,24707,7001,verb.adjective.adverb.noun.name,18826.5400.229.223.2,5400,171752631.0
cold,6638,3509,adjective.noun.name.adverb,5351.1232.25.25,5351,40833613.0
quick,5542,3097,adjective.adverb.noun,5184.349.2,5184,85584600.0
weird,5156,2597,adjective,5146,5146,11556427.0
busy,5433,3206,adjective.verb,5078.356,5078,17376500.0
damn,14460,4711,adjective.verb.interjection.adverb.noun.name,5055.4774.3700.849.41.1,5055,11016467.0
like,203947,8341,preposition.verb.conjunction.adverb.adjective.noun.name,111581.69662.11417.6065.4991.67.7,4991,520585287.0
american,5213,2090,adjective.noun.name,4978.233.1,4978,227534978.0
blue,5222,2487,adjective.noun.name.verb,4909.224.66.17,4909,126160941.0
open,16341,5847,verb.adjective.adverb.noun,11011.4898.395.3,4898,239670331.0
lovely,4853,2473,adjective.noun,4842.3,4842,13923904.0
terrible,4795,2810,adjective,4783,4783,8610277.0
personal,4675,2828,adjective,4664,4664,214671907.0
smart,4909,2793,adjective.name.verb.noun,4646.213.38.7,4646,36636558.0
close,11191,5181,adjective.verb.adverb.noun.name,4634.4572.1887.72.8,4634,107853068.0
tough,4616,2746,adjective.noun.name,4563.43.8,4563,13560922.0
simple,4555,2861,adjective,4555,4555,85617922.0
worse,5002,3252,adjective.adverb.noun,4514.442.38,4514,15677739.0
cute,4475,2459,adjective,4467,4467,17912721.0
interesting,4421,2753,adjective.verb.noun,4402.15.1,4402,46983244.0
strong,4430,2684,adjective.adverb.name,4382.26.19,4382,60969207.0
strange,4408,2531,adjective.name,4296.107,4296,18322738.0
interested,4374,2669,adjective.verb.noun,4275.80.10,4275,51282170.0
proud,4265,2621,adjective.adverb,4241.16,4241,17167504.0
certain,4354,2654,adjective.adverb,4213.140,4213,73108213.0
amazing,4167,2369,adjective.verb,4140.24,4140,26630190.0
entire,4070,2627,adjective,4071,4071,56284017.0
fair,4832,2810,adjective.adverb.noun.name,3982.739.106.2,3982,49510931.0
rich,4100,2104,adjective.name.noun,3942.152.1,3942,37200952.0
hungry,3931,2441,adjective,3926,3926,6217455.0
dangerous,3817,2386,adjective,3810,3810,16909821.0
short,4367,2823,adjective.adverb.name.noun.verb,3794.353.183.18.16,3794,106755242.0
dear,11395,3448,interjection.adjective.noun.adverb.name,5368.3787.2194.43.4,3787,20608432.0
goddamn,5815,1523,adjective.interjection,3708.2105,3708,577357.0
honest,3689,2331,adjective,3685,3685,11109203.0
normal,3589,2134,adjective,3585,3585,56442762.0
single,3676,2377,adjective.noun.verb,3583.48.44,3583,134754203.0
clean,6183,3455,adjective.verb.adverb.noun,3494.2644.32.5,3494,45381752.0
holy,3475,1889,adjective.name,3453.8,3453,23688276.0
drunk,3904,2016,adjective.verb.noun,3440.443.14,3440,10519219.0
nervous,3425,2105,adjective,3419,3419,7908601.0
private,3874,2257,adjective.adverb.noun,3313.329.231,3313,187885878.0
sad,3232,2003,adjective,3233,3233,13010129.0
guilty,3177,1538,adjective.noun,3178.1,3178,10588260.0
awful,3234,2092,adjective.adverb,3079.152,3079,5217370.0
difficult,3068,2118,adjective,3058,3058,42436311.0
impossible,3015,2060,adjective,3011,3011,15545255.0
angry,3008,1864,adjective.noun,3001.1,3001,9267505.0
dirty,3389,2060,adjective.verb.adverb,2997.291.96,2997,16101662.0
grand,3214,1614,adjective.noun.name.unclassified,2940.191.77.3,2940,56599468.0
silly,2912,1845,adjective,2909,2909,6833654.0
gay,3013,977,adjective.name.noun,2896.112.3,2896,167587791.0
extra,3017,2070,adjective.adverb.noun,2891.112.2,2891,59377307.0
fat,4051,2046,adjective.noun.name,2878.1158.9,2878,48646296.0
ridiculous,2836,1989,adjective,2838,2838,3486556.0
worst,2874,2087,adjective.adverb.verb,2792.62.17,2792,16975343.0
secret,5585,2847,noun.adjective,2792.2782,2782,30542047.0
fresh,2780,1953,adjective,2777,2777,38781893.0
medical,2774,1541,adjective.noun,2770.1,2770,155254497.0
wild,2923,1777,adjective.adverb.noun.name,2764.149.3.1,2764,39937252.0
bigger,2765,1948,adjective.noun,2758.1,2758,13152228.0
welcome,9140,4499,verb.adjective.noun.name,5808.2741.578.2,2741,114025350.0
low,3016,2041,adjective.adverb.noun.name.verb,2700.201.51.49.5,2700,184815478.0
innocent,2780,1546,adjective.noun.name,2696.78.1,2696,8051344.0
excellent,2688,1755,adjective,2687,2687,60316327.0
worried,4831,3061,adjective.verb.noun,2662.2168.1,2662,6610456.0
dark,4519,2629,adjective.noun.name,2661.1852.7,2661,50669807.0
pregnant,2653,1208,adjective,2653,2653,19945624.0
green,3696,1908,adjective.noun.name,2627.668.391,2627,108287905.0
very,63304,7863,adverb.adjective.noun,60616.2616.2,2616,334923368.0
early,5510,3284,adverb.adjective.noun,2941.2563.2,2563,100013194.0
asleep,2541,1705,adjective,2535,2535,3967813.0
willing,2512,1822,adjective.verb.noun,2499.9.3,2499,18418634.0
huge,2467,1629,adjective,2465,2465,70639535.0
greatest,2464,1598,adjective,2460,2460,25547808.0
comfortable,2408,1763,adjective,2400,2400,19520487.0
heavy,2412,1688,adjective.adverb.noun,2399.6.1,2399,37668153.0
dumb,2395,1501,adjective,2393,2393,5409969.0
surprised,2808,2099,adjective.verb,2391.416,2391,10158243.0
necessary,2345,1702,adjective,2343,2343,72604405.0
french,3541,1471,adjective.noun.name,2320.1104.98,2320,81396759.0
responsible,2298,1638,adjective,2298,2298,65319659.0
used,17551,6326,verb.adjective.noun,15252.2296.3,2296,421438139.0
famous,2296,1434,adjective,2292,2292,29332023.0
final,2533,1712,adjective.noun.name,2272.256.1,2272,97649084.0
concerned,2261,1685,adjective.verb.noun,2229.26.2,2229,25490395.0
favorite,3032,1974,adjective.noun,2186.844,2186,61781016.0
front,9259,4589,preposition.noun.adjective.adverb.verb.name,4124.2504.2162.322.127.9,2162,100886343.0
horrible,2164,1480,adjective,2162,2162,6218089.0
bright,2265,1403,adjective.name.noun,2158.98.1,2158,19446368.0
ugly,2150,1433,adjective.noun,2149.1,2149,7430462.0
empty,2409,1764,adjective.verb,2147.262,2147,26206017.0
older,2135,1502,adjective,2132,2132,44222089.0
terrific,2138,1274,adjective,2132,2132,3652629.0
major,5343,1760,adjective.name.noun.verb,2127.1699.1501.15,2127,122592252.0
warm,2659,1877,adjective.verb,2120.537,2120,22645772.0
lonely,2125,1364,adjective,2119,2119,7567701.0
complete,2636,1866,adjective.verb,2109.521,2109,149312237.0
natural,2160,1562,adjective.adverb.noun,2092.62.10,2092,105101771.0
biggest,2085,1504,adjective,2085,2085,20195396.0
local,2128,1498,adjective.noun,2079.47,2079,270742935.0
public,3625,2107,adjective.noun.adverb.name,2078.1044.493.4,2078,349286123.0
excited,2479,1712,adjective.verb,2078.398,2078,9611150.0
chinese,2266,954,adjective.noun.name,2044.113.107,2044,56057597.0
fantastic,2029,1336,adjective,2025,2025,17371421.0
evil,3731,1598,adjective.noun.name,2024.1604.94,2024,25704669.0
deep,3896,2454,adjective.adverb.noun.name,2023.1833.24.6,2023,53447410.0
main,2179,1400,adjective.name.noun.adverb,2009.113.51.3,2009,199616754.0
blind,2337,1353,adjective.verb.noun.name,2009.255.69.3,2009,16485480.0
naked,2002,1217,adjective,1999,1999,43110969.0
merry,1994,467,adjective,1989,1989,6367037.0
insane,1973,1372,adjective,1969,1969,4121922.0
military,2103,958,adjective.noun,1968.135,1968,71229404.0
large,2114,1480,adjective.adverb,1963.151,1963,165863763.0
slow,3877,2389,adjective.verb.adverb,1962.1695.214,1962,26870240.0
